,CPUPAXFE Index_ratio
10251,1016.6705598380443
10252,1016.6705598380443
10253,1016.6705598380443
10254,1016.6705598380443
10255,1016.6705598380443
10256,1016.6705598380443
10257,1016.6705598380443
10258,1016.6705598380443
10259,1016.6705598380443
10260,1016.6705598380443
10261,1016.6705598380443
10262,1016.6705598380443
10263,1016.6705598380443
10264,1016.6705598380443
10265,1016.6705598380443
10266,1016.6705598380443
10267,1016.6705598380443
10268,1016.6705598380443
10269,1016.6705598380443
10270,1016.6705598380443
10271,1016.6705598380443
10272,1016.6705598380443
10273,1016.6705598380443
10274,1016.6705598380443
10275,1016.6705598380443
10276,1016.6705598380443
10277,1016.6705598380443
10278,1016.6705598380443
10279,1016.6705598380443
10280,1016.6705598380443
10281,1016.6705598380443
10282,1016.6705598380443
10283,1016.6705598380443
10284,1016.6705598380443
10285,1016.6705598380443
10286,1016.6705598380443
10287,1016.6705598380443
10288,1016.6705598380443
10289,1016.6705598380443
10290,1016.6705598380443
10291,1016.6705598380443
10292,1016.6705598380443
10293,1016.6705598380443
10294,1016.6705598380443
10295,1016.6705598380443
10296,1016.6705598380443
10297,1016.6705598380443
10298,1016.6705598380443
10299,1016.6705598380443
10300,1016.6705598380443
10301,1016.6705598380443
10302,1016.6705598380443
10303,1016.6705598380443
10304,1016.6705598380443
10305,1016.6705598380443
10306,1016.6705598380443
10307,1016.6705598380443
10308,1016.6705598380443
10309,1016.6705598380443
10310,1016.6705598380443
10311,1016.6705598380443
10312,1016.6705598380443
10313,1016.6705598380443
10314,1016.6705598380443
10315,1016.6705598380443
10316,1019.09768934606
10317,1019.09768934606
10318,1019.09768934606
10319,1019.09768934606
10320,1019.09768934606
10321,1019.09768934606
10322,1019.09768934606
10323,1019.09768934606
10324,1019.09768934606
10325,1019.09768934606
10326,1019.09768934606
10327,1019.09768934606
10328,1019.09768934606
10329,1019.09768934606
10330,1019.09768934606
10331,1019.09768934606
10332,1019.09768934606
10333,1019.09768934606
10334,1019.09768934606
10335,1019.09768934606
10336,1019.09768934606
10337,1019.09768934606
10338,1019.09768934606
10339,1019.09768934606
10340,1019.09768934606
10341,1019.09768934606
10342,1019.09768934606
10343,1019.09768934606
10344,1019.09768934606
10345,1019.09768934606
10346,1019.09768934606
10347,1019.09768934606
10348,1019.09768934606
10349,1019.09768934606
10350,1019.09768934606
10351,1019.09768934606
10352,1019.09768934606
10353,1019.09768934606
10354,1019.09768934606
10355,1019.09768934606
10356,1019.09768934606
10357,1019.09768934606
10358,1019.09768934606
10359,1019.09768934606
10360,1019.09768934606
10361,1019.09768934606
10362,1019.09768934606
10363,1019.09768934606
10364,1019.09768934606
10365,1019.09768934606
10366,1019.09768934606
10367,1019.09768934606
10368,1019.09768934606
10369,1019.09768934606
10370,1019.09768934606
10371,1019.09768934606
10372,1019.09768934606
10373,1019.09768934606
10374,1019.09768934606
10375,1019.09768934606
10376,1019.09768934606
10377,1019.09768934606
10378,1019.09768934606
10379,1019.09768934606
10380,1019.09768934606
10381,1019.09768934606
10382,1019.09768934606
10383,1019.09768934606
10384,1019.09768934606
10385,1019.09768934606
10386,1019.09768934606
10387,1019.09768934606
10388,1019.09768934606
10389,1019.09768934606
10390,1019.09768934606
10391,1019.09768934606
10392,1019.09768934606
10393,1019.09768934606
10394,1019.09768934606
10395,1019.09768934606
10396,1019.09768934606
10397,1019.09768934606
10398,1019.09768934606
10399,1019.09768934606
10400,1019.09768934606
10401,1019.09768934606
10402,1019.09768934606
10403,1019.09768934606
10404,1019.09768934606
10405,1019.09768934606
10406,1019.09768934606
10407,1021.1900498799271
10408,1021.1900498799271
10409,1021.1900498799271
10410,1021.1900498799271
10411,1021.1900498799271
10412,1021.1900498799271
10413,1021.1900498799271
10414,1021.1900498799271
10415,1021.1900498799271
10416,1021.1900498799271
10417,1021.1900498799271
10418,1021.1900498799271
10419,1021.1900498799271
10420,1021.1900498799271
10421,1021.1900498799271
10422,1021.1900498799271
10423,1021.1900498799271
10424,1021.1900498799271
10425,1021.1900498799271
10426,1021.1900498799271
10427,1021.1900498799271
10428,1021.1900498799271
10429,1021.1900498799271
10430,1021.1900498799271
10431,1021.1900498799271
10432,1021.1900498799271
10433,1021.1900498799271
10434,1021.1900498799271
10435,1021.1900498799271
10436,1021.1900498799271
10437,1021.1900498799271
10438,1021.1900498799271
10439,1021.1900498799271
10440,1021.1900498799271
10441,1021.1900498799271
10442,1021.1900498799271
10443,1021.1900498799271
10444,1021.1900498799271
10445,1021.1900498799271
10446,1021.1900498799271
10447,1021.1900498799271
10448,1021.1900498799271
10449,1021.1900498799271
10450,1021.1900498799271
10451,1021.1900498799271
10452,1021.1900498799271
10453,1021.1900498799271
10454,1021.1900498799271
10455,1021.1900498799271
10456,1021.1900498799271
10457,1021.1900498799271
10458,1021.1900498799271
10459,1021.1900498799271
10460,1021.1900498799271
10461,1021.1900498799271
10462,1021.1900498799271
10463,1021.1900498799271
10464,1021.1900498799271
10465,1021.1900498799271
10466,1021.1900498799271
10467,1021.1900498799271
10468,1021.1900498799271
10469,1021.1900498799271
10470,1021.1900498799271
10471,1021.1900498799271
10472,1021.1900498799271
10473,1021.1900498799271
10474,1021.1900498799271
10475,1021.1900498799271
10476,1021.1900498799271
10477,1021.1900498799271
10478,1021.1900498799271
10479,1021.1900498799271
10480,1021.1900498799271
10481,1021.1900498799271
10482,1021.1900498799271
10483,1021.1900498799271
10484,1021.1900498799271
10485,1021.1900498799271
10486,1021.1900498799271
10487,1021.1900498799271
10488,1021.1900498799271
10489,1021.1900498799271
10490,1021.1900498799271
10491,1021.1900498799271
10492,1021.1900498799271
10493,1021.1900498799271
10494,1021.1900498799271
10495,1021.1900498799271
10496,1021.1900498799271
10497,1021.1900498799271
10498,1021.1900498799271
10499,1023.3967512791216
10500,1023.3967512791216
10501,1023.3967512791216
10502,1023.3967512791216
10503,1023.3967512791216
10504,1023.3967512791216
10505,1023.3967512791216
10506,1023.3967512791216
10507,1023.3967512791216
10508,1023.3967512791216
10509,1023.3967512791216
10510,1023.3967512791216
10511,1023.3967512791216
10512,1023.3967512791216
10513,1023.3967512791216
10514,1023.3967512791216
10515,1023.3967512791216
10516,1023.3967512791216
10517,1023.3967512791216
10518,1023.3967512791216
10519,1023.3967512791216
10520,1023.3967512791216
10521,1023.3967512791216
10522,1023.3967512791216
10523,1023.3967512791216
10524,1023.3967512791216
10525,1023.3967512791216
10526,1023.3967512791216
10527,1023.3967512791216
10528,1023.3967512791216
10529,1023.3967512791216
10530,1023.3967512791216
10531,1023.3967512791216
10532,1023.3967512791216
10533,1023.3967512791216
10534,1023.3967512791216
10535,1023.3967512791216
10536,1023.3967512791216
10537,1023.3967512791216
10538,1023.3967512791216
10539,1023.3967512791216
10540,1023.3967512791216
10541,1023.3967512791216
10542,1023.3967512791216
10543,1023.3967512791216
10544,1023.3967512791216
10545,1023.3967512791216
10546,1023.3967512791216
10547,1023.3967512791216
10548,1023.3967512791216
10549,1023.3967512791216
10550,1023.3967512791216
10551,1023.3967512791216
10552,1023.3967512791216
10553,1023.3967512791216
10554,1023.3967512791216
10555,1023.3967512791216
10556,1023.3967512791216
10557,1023.3967512791216
10558,1023.3967512791216
10559,1023.3967512791216
10560,1023.3967512791216
10561,1023.3967512791216
10562,1023.3967512791216
10563,1023.3967512791216
10564,1023.3967512791216
10565,1023.3967512791216
10566,1023.3967512791216
10567,1023.3967512791216
10568,1023.3967512791216
10569,1023.3967512791216
10570,1023.3967512791216
10571,1023.3967512791216
10572,1023.3967512791216
10573,1023.3967512791216
10574,1023.3967512791216
10575,1023.3967512791216
10576,1023.3967512791216
10577,1023.3967512791216
10578,1023.3967512791216
10579,1023.3967512791216
10580,1023.3967512791216
10581,1023.3967512791216
10582,1023.3967512791216
10583,1023.3967512791216
10584,1023.3967512791216
10585,1023.3967512791216
10586,1023.3967512791216
10587,1023.3967512791216
10588,1023.3967512791216
10589,1023.3967512791216
10590,1023.3967512791216
10591,1020.9652424971325
10592,1020.9652424971325
10593,1020.9652424971325
10594,1020.9652424971325
10595,1020.9652424971325
10596,1020.9652424971325
10597,1020.9652424971325
10598,1020.9652424971325
10599,1020.9652424971325
10600,1020.9652424971325
10601,1020.9652424971325
10602,1020.9652424971325
10603,1020.9652424971325
10604,1020.9652424971325
10605,1020.9652424971325
10606,1020.9652424971325
10607,1020.9652424971325
10608,1020.9652424971325
10609,1020.9652424971325
10610,1020.9652424971325
10611,1020.9652424971325
10612,1020.9652424971325
10613,1020.9652424971325
10614,1020.9652424971325
10615,1020.9652424971325
10616,1020.9652424971325
10617,1020.9652424971325
10618,1020.9652424971325
10619,1020.9652424971325
10620,1020.9652424971325
10621,1020.9652424971325
10622,1020.9652424971325
10623,1020.9652424971325
10624,1020.9652424971325
10625,1020.9652424971325
10626,1020.9652424971325
10627,1020.9652424971325
10628,1020.9652424971325
10629,1020.9652424971325
10630,1020.9652424971325
10631,1020.9652424971325
10632,1020.9652424971325
10633,1020.9652424971325
10634,1020.9652424971325
10635,1020.9652424971325
10636,1020.9652424971325
10637,1020.9652424971325
10638,1020.9652424971325
10639,1020.9652424971325
10640,1020.9652424971325
10641,1020.9652424971325
10642,1020.9652424971325
10643,1020.9652424971325
10644,1020.9652424971325
10645,1020.9652424971325
10646,1020.9652424971325
10647,1020.9652424971325
10648,1020.9652424971325
10649,1020.9652424971325
10650,1020.9652424971325
10651,1020.9652424971325
10652,1020.9652424971325
10653,1020.9652424971325
10654,1020.9652424971325
10655,1020.9652424971325
10656,1020.9652424971325
10657,1020.9652424971325
10658,1020.9652424971325
10659,1020.9652424971325
10660,1020.9652424971325
10661,1020.9652424971325
10662,1020.9652424971325
10663,1020.9652424971325
10664,1020.9652424971325
10665,1020.9652424971325
10666,1020.9652424971325
10667,1020.9652424971325
10668,1020.9652424971325
10669,1020.9652424971325
10670,1020.9652424971325
10671,1020.9652424971325
10672,1020.9652424971325
10673,1020.9652424971325
10674,1020.9652424971325
10675,1020.9652424971325
10676,1020.9652424971325
10677,1020.9652424971325
10678,1020.9652424971325
10679,1020.9652424971325
10680,1020.9652424971325
10681,1025.1876747907847
10682,1025.1876747907847
10683,1025.1876747907847
10684,1025.1876747907847
10685,1025.1876747907847
10686,1025.1876747907847
10687,1025.1876747907847
10688,1025.1876747907847
10689,1025.1876747907847
10690,1025.1876747907847
10691,1025.1876747907847
10692,1025.1876747907847
10693,1025.1876747907847
10694,1025.1876747907847
10695,1025.1876747907847
10696,1025.1876747907847
10697,1025.1876747907847
10698,1025.1876747907847
10699,1025.1876747907847
10700,1025.1876747907847
10701,1025.1876747907847
10702,1025.1876747907847
10703,1025.1876747907847
10704,1025.1876747907847
10705,1025.1876747907847
10706,1025.1876747907847
10707,1025.1876747907847
10708,1025.1876747907847
10709,1025.1876747907847
10710,1025.1876747907847
10711,1025.1876747907847
10712,1025.1876747907847
10713,1025.1876747907847
10714,1025.1876747907847
10715,1025.1876747907847
10716,1025.1876747907847
10717,1025.1876747907847
10718,1025.1876747907847
10719,1025.1876747907847
10720,1025.1876747907847
10721,1025.1876747907847
10722,1025.1876747907847
10723,1025.1876747907847
10724,1025.1876747907847
10725,1025.1876747907847
10726,1025.1876747907847
10727,1025.1876747907847
10728,1025.1876747907847
10729,1025.1876747907847
10730,1025.1876747907847
10731,1025.1876747907847
10732,1025.1876747907847
10733,1025.1876747907847
10734,1025.1876747907847
10735,1025.1876747907847
10736,1025.1876747907847
10737,1025.1876747907847
10738,1025.1876747907847
10739,1025.1876747907847
10740,1025.1876747907847
10741,1025.1876747907847
10742,1025.1876747907847
10743,1025.1876747907847
10744,1025.1876747907847
10745,1025.1876747907847
10746,1025.1876747907847
10747,1025.1876747907847
10748,1025.1876747907847
10749,1025.1876747907847
10750,1025.1876747907847
10751,1025.1876747907847
10752,1025.1876747907847
10753,1025.1876747907847
10754,1025.1876747907847
10755,1025.1876747907847
10756,1025.1876747907847
10757,1025.1876747907847
10758,1025.1876747907847
10759,1025.1876747907847
10760,1025.1876747907847
10761,1025.1876747907847
10762,1025.1876747907847
10763,1025.1876747907847
10764,1025.1876747907847
10765,1025.1876747907847
10766,1025.1876747907847
10767,1025.1876747907847
10768,1025.1876747907847
10769,1025.1876747907847
10770,1025.1876747907847
10771,1025.1876747907847
10772,1023.6637440172208
10773,1023.6637440172208
10774,1023.6637440172208
10775,1023.6637440172208
10776,1023.6637440172208
10777,1023.6637440172208
10778,1023.6637440172208
10779,1023.6637440172208
10780,1023.6637440172208
10781,1023.6637440172208
10782,1023.6637440172208
10783,1023.6637440172208
10784,1023.6637440172208
10785,1023.6637440172208
10786,1023.6637440172208
10787,1023.6637440172208
10788,1023.6637440172208
10789,1023.6637440172208
10790,1023.6637440172208
10791,1023.6637440172208
10792,1023.6637440172208
10793,1023.6637440172208
10794,1023.6637440172208
10795,1023.6637440172208
10796,1023.6637440172208
