,INJCSP Index_ratio
10124,988.0047594464245
10125,988.0047594464245
10126,988.0047594464245
10127,988.0047594464245
10128,988.0047594464245
10129,988.0047594464245
10130,988.0047594464245
10131,988.0047594464245
10132,988.0047594464245
10133,988.0047594464245
10134,984.7184267440107
10135,984.7184267440107
10136,984.7184267440107
10137,984.7184267440107
10138,984.7184267440107
10139,984.7184267440107
10140,984.7184267440107
10141,984.7184267440107
10142,984.7184267440107
10143,984.7184267440107
10144,984.7184267440107
10145,984.7184267440107
10146,984.7184267440107
10147,984.7184267440107
10148,984.7184267440107
10149,984.7184267440107
10150,984.7184267440107
10151,984.7184267440107
10152,984.7184267440107
10153,984.7184267440107
10154,984.7184267440107
10155,984.7184267440107
10156,984.7184267440107
10157,984.7184267440107
10158,984.7184267440107
10159,984.7184267440107
10160,984.7184267440107
10161,984.7184267440107
10162,984.7184267440107
10163,984.7184267440107
10164,984.7184267440107
10165,984.7184267440107
10166,984.7184267440107
10167,984.7184267440107
10168,984.7184267440107
10169,984.7184267440107
10170,984.7184267440107
10171,984.7184267440107
10172,984.7184267440107
10173,984.7184267440107
10174,984.7184267440107
10175,984.7184267440107
10176,984.7184267440107
10177,984.7184267440107
10178,984.7184267440107
10179,984.7184267440107
10180,984.7184267440107
10181,984.7184267440107
10182,984.7184267440107
10183,984.7184267440107
10184,984.7184267440107
10185,984.7184267440107
10186,984.7184267440107
10187,984.7184267440107
10188,984.7184267440107
10189,984.7184267440107
10190,984.7184267440107
10191,984.7184267440107
10192,984.7184267440107
10193,984.7184267440107
10194,984.7184267440107
10195,984.7184267440107
10196,984.7184267440107
10197,984.7184267440107
10198,984.7184267440107
10199,984.7184267440107
10200,984.7184267440107
10201,984.7184267440107
10202,984.7184267440107
10203,984.7184267440107
10204,984.7184267440107
10205,984.7184267440107
10206,984.7184267440107
10207,984.7184267440107
10208,984.7184267440107
10209,984.7184267440107
10210,984.7184267440107
10211,984.7184267440107
10212,984.7184267440107
10213,984.7184267440107
10214,984.7184267440107
10215,984.7184267440107
10216,984.7184267440107
10217,984.7184267440107
10218,984.7184267440107
10219,984.7184267440107
10220,984.7184267440107
10221,984.7184267440107
10222,984.7184267440107
10223,984.7184267440107
10224,984.7184267440107
10225,984.7184267440107
10226,983.8511443486286
10227,983.8511443486286
10228,983.8511443486286
10229,983.8511443486286
10230,983.8511443486286
10231,983.8511443486286
10232,983.8511443486286
10233,983.8511443486286
10234,983.8511443486286
10235,983.8511443486286
10236,983.8511443486286
10237,983.8511443486286
10238,983.8511443486286
10239,983.8511443486286
10240,983.8511443486286
10241,983.8511443486286
10242,983.8511443486286
10243,983.8511443486286
10244,983.8511443486286
10245,983.8511443486286
10246,983.8511443486286
10247,983.8511443486286
10248,983.8511443486286
10249,983.8511443486286
10250,983.8511443486286
10251,983.8511443486286
10252,983.8511443486286
10253,983.8511443486286
10254,983.8511443486286
10255,983.8511443486286
10256,983.8511443486286
10257,983.8511443486286
10258,983.8511443486286
10259,983.8511443486286
10260,983.8511443486286
10261,983.8511443486286
10262,983.8511443486286
10263,983.8511443486286
10264,983.8511443486286
10265,983.8511443486286
10266,983.8511443486286
10267,983.8511443486286
10268,983.8511443486286
10269,983.8511443486286
10270,983.8511443486286
10271,983.8511443486286
10272,983.8511443486286
10273,983.8511443486286
10274,983.8511443486286
10275,983.8511443486286
10276,983.8511443486286
10277,983.8511443486286
