,USMMMNCH Index_ratio
10132,679.939918228959
10133,679.939918228959
10134,859.480269489894
10135,859.480269489894
10136,859.480269489894
10137,859.480269489894
10138,859.480269489894
10139,859.480269489894
10140,859.480269489894
10141,859.480269489894
10142,859.480269489894
10143,859.480269489894
10144,859.480269489894
10145,859.480269489894
10146,859.480269489894
10147,859.480269489894
10148,859.480269489894
10149,859.480269489894
10150,859.480269489894
10151,859.480269489894
10152,859.480269489894
10153,859.480269489894
10154,859.480269489894
10155,859.480269489894
10156,859.480269489894
10157,859.480269489894
10158,859.480269489894
10159,859.480269489894
10160,859.480269489894
10161,859.480269489894
10162,859.480269489894
10163,859.480269489894
10164,859.480269489894
10165,859.480269489894
10166,859.480269489894
10167,859.480269489894
10168,859.480269489894
10169,859.480269489894
10170,859.480269489894
10171,859.480269489894
10172,859.480269489894
10173,859.480269489894
10174,859.480269489894
10175,859.480269489894
10176,859.480269489894
10177,859.480269489894
10178,859.480269489894
10179,859.480269489894
10180,859.480269489894
10181,859.480269489894
10182,859.480269489894
10183,859.480269489894
10184,859.480269489894
10185,859.480269489894
10186,859.480269489894
10187,859.480269489894
10188,859.480269489894
10189,859.480269489894
10190,859.480269489894
10191,859.480269489894
10192,859.480269489894
10193,859.480269489894
10194,859.480269489894
10195,859.480269489894
10196,859.480269489894
10197,859.480269489894
10198,859.480269489894
10199,859.480269489894
10200,859.480269489894
10201,859.480269489894
10202,859.480269489894
10203,859.480269489894
10204,859.480269489894
10205,859.480269489894
10206,859.480269489894
10207,859.480269489894
10208,859.480269489894
10209,859.480269489894
10210,859.480269489894
10211,859.480269489894
10212,859.480269489894
10213,859.480269489894
10214,859.480269489894
10215,859.480269489894
10216,859.480269489894
10217,859.480269489894
10218,859.480269489894
10219,859.480269489894
10220,859.480269489894
10221,859.480269489894
10222,859.480269489894
10223,859.480269489894
10224,859.480269489894
10225,859.480269489894
10226,1506.8906308324003
10227,1506.8906308324003
10228,1506.8906308324003
10229,1506.8906308324003
10230,1506.8906308324003
10231,1506.8906308324003
10232,1506.8906308324003
10233,1506.8906308324003
10234,1506.8906308324003
10235,1506.8906308324003
10236,1506.8906308324003
10237,1506.8906308324003
10238,1506.8906308324003
10239,1506.8906308324003
10240,1506.8906308324003
10241,1506.8906308324003
10242,1506.8906308324003
10243,1506.8906308324003
10244,1506.8906308324003
10245,1506.8906308324003
10246,1506.8906308324003
10247,1506.8906308324003
10248,1506.8906308324003
10249,1506.8906308324003
10250,1506.8906308324003
10251,1506.8906308324003
10252,1506.8906308324003
10253,1506.8906308324003
10254,1506.8906308324003
10255,1506.8906308324003
10256,1506.8906308324003
10257,1506.8906308324003
10258,1506.8906308324003
10259,1506.8906308324003
10260,1506.8906308324003
10261,1506.8906308324003
10262,1506.8906308324003
10263,1506.8906308324003
10264,1506.8906308324003
10265,1506.8906308324003
10266,1506.8906308324003
10267,1506.8906308324003
10268,1506.8906308324003
10269,1506.8906308324003
10270,1506.8906308324003
10271,1506.8906308324003
10272,1506.8906308324003
10273,1506.8906308324003
10274,1506.8906308324003
10275,1506.8906308324003
10276,1506.8906308324003
10277,1506.8906308324003
10278,1506.8906308324003
10279,1506.8906308324003
10280,1506.8906308324003
10281,1506.8906308324003
10282,1506.8906308324003
10283,1506.8906308324003
10284,1506.8906308324003
10285,1506.8906308324003
10286,1506.8906308324003
10287,1506.8906308324003
10288,1506.8906308324003
10289,1506.8906308324003
10290,1506.8906308324003
10291,1506.8906308324003
10292,1506.8906308324003
10293,1506.8906308324003
10294,1506.8906308324003
10295,1506.8906308324003
10296,1506.8906308324003
10297,1506.8906308324003
10298,1506.8906308324003
10299,1506.8906308324003
10300,1506.8906308324003
10301,1506.8906308324003
10302,1506.8906308324003
10303,1506.8906308324003
10304,1506.8906308324003
10305,1506.8906308324003
10306,1506.8906308324003
10307,1506.8906308324003
10308,1506.8906308324003
10309,1506.8906308324003
10310,1506.8906308324003
10311,1506.8906308324003
10312,1506.8906308324003
10313,1506.8906308324003
10314,1506.8906308324003
10315,1506.8906308324003
10316,954.7517204764241
10317,954.7517204764241
10318,954.7517204764241
10319,954.7517204764241
10320,954.7517204764241
10321,954.7517204764241
10322,954.7517204764241
10323,954.7517204764241
10324,954.7517204764241
10325,954.7517204764241
10326,954.7517204764241
10327,954.7517204764241
10328,954.7517204764241
10329,954.7517204764241
10330,954.7517204764241
10331,954.7517204764241
10332,954.7517204764241
10333,954.7517204764241
10334,954.7517204764241
10335,954.7517204764241
10336,954.7517204764241
10337,954.7517204764241
10338,954.7517204764241
10339,954.7517204764241
10340,954.7517204764241
10341,954.7517204764241
10342,954.7517204764241
10343,954.7517204764241
10344,954.7517204764241
10345,954.7517204764241
10346,954.7517204764241
10347,954.7517204764241
10348,954.7517204764241
10349,954.7517204764241
10350,954.7517204764241
10351,954.7517204764241
10352,954.7517204764241
10353,954.7517204764241
10354,954.7517204764241
10355,954.7517204764241
10356,954.7517204764241
10357,954.7517204764241
10358,954.7517204764241
10359,954.7517204764241
10360,954.7517204764241
10361,954.7517204764241
10362,954.7517204764241
10363,954.7517204764241
10364,954.7517204764241
10365,954.7517204764241
10366,954.7517204764241
10367,954.7517204764241
10368,954.7517204764241
10369,954.7517204764241
10370,954.7517204764241
10371,954.7517204764241
10372,954.7517204764241
10373,954.7517204764241
10374,954.7517204764241
10375,954.7517204764241
10376,954.7517204764241
10377,954.7517204764241
10378,954.7517204764241
10379,954.7517204764241
10380,954.7517204764241
10381,954.7517204764241
10382,954.7517204764241
10383,954.7517204764241
10384,954.7517204764241
10385,954.7517204764241
10386,954.7517204764241
10387,954.7517204764241
10388,954.7517204764241
10389,954.7517204764241
10390,954.7517204764241
10391,954.7517204764241
10392,954.7517204764241
10393,954.7517204764241
10394,954.7517204764241
10395,954.7517204764241
10396,954.7517204764241
10397,954.7517204764241
10398,954.7517204764241
10399,954.7517204764241
10400,954.7517204764241
10401,954.7517204764241
10402,954.7517204764241
10403,954.7517204764241
10404,954.7517204764241
10405,954.7517204764241
10406,954.7517204764241
10407,752.5112561755004
10408,752.5112561755004
10409,752.5112561755004
10410,752.5112561755004
10411,752.5112561755004
10412,752.5112561755004
10413,752.5112561755004
10414,752.5112561755004
10415,752.5112561755004
10416,752.5112561755004
10417,752.5112561755004
10418,752.5112561755004
10419,752.5112561755004
10420,752.5112561755004
10421,752.5112561755004
10422,752.5112561755004
10423,752.5112561755004
10424,752.5112561755004
10425,752.5112561755004
10426,752.5112561755004
10427,752.5112561755004
10428,752.5112561755004
10429,752.5112561755004
10430,752.5112561755004
10431,752.5112561755004
10432,752.5112561755004
10433,752.5112561755004
10434,752.5112561755004
10435,752.5112561755004
10436,752.5112561755004
10437,752.5112561755004
10438,752.5112561755004
10439,752.5112561755004
10440,752.5112561755004
10441,752.5112561755004
10442,752.5112561755004
10443,752.5112561755004
10444,752.5112561755004
10445,752.5112561755004
10446,752.5112561755004
10447,752.5112561755004
10448,752.5112561755004
10449,752.5112561755004
10450,752.5112561755004
10451,752.5112561755004
10452,752.5112561755004
10453,752.5112561755004
10454,752.5112561755004
10455,752.5112561755004
10456,752.5112561755004
10457,752.5112561755004
10458,752.5112561755004
10459,752.5112561755004
10460,752.5112561755004
10461,752.5112561755004
10462,752.5112561755004
10463,752.5112561755004
10464,752.5112561755004
10465,752.5112561755004
10466,752.5112561755004
10467,752.5112561755004
10468,752.5112561755004
10469,752.5112561755004
10470,752.5112561755004
10471,752.5112561755004
10472,752.5112561755004
10473,752.5112561755004
10474,752.5112561755004
10475,752.5112561755004
10476,752.5112561755004
10477,752.5112561755004
10478,752.5112561755004
10479,752.5112561755004
10480,752.5112561755004
10481,752.5112561755004
10482,752.5112561755004
10483,752.5112561755004
10484,752.5112561755004
10485,752.5112561755004
10486,752.5112561755004
10487,752.5112561755004
10488,752.5112561755004
10489,752.5112561755004
10490,752.5112561755004
10491,752.5112561755004
10492,752.5112561755004
10493,752.5112561755004
10494,752.5112561755004
10495,752.5112561755004
10496,752.5112561755004
10497,752.5112561755004
10498,752.5112561755004
10499,1597.434836574266
10500,1597.434836574266
10501,1597.434836574266
10502,1597.434836574266
