Date,GDP PIQQ Index_ratio_annual
1966-09-25,1459.5776772247361
1966-09-26,1460.7503390085883
1966-09-27,1461.920529801325
1966-09-28,1463.088257404902
1966-09-29,1464.2535295884652
1966-09-30,1465.4163540885224
1966-10-01,1468.1872749099643
1966-10-02,1470.9590274651064
1966-10-03,1473.7316121284903
1966-10-04,1476.5050292748842
1966-10-05,1479.2792792792802
1966-10-06,1482.054362516895
1966-10-07,1484.8302793631726
1966-10-08,1487.6070301937814
1966-10-09,1490.3846153846162
1966-10-10,1493.1630353117962
1966-10-11,1495.9422903516688
1966-10-12,1498.722380880806
1966-10-13,1501.5033072760077
1966-10-14,1504.2850699142994
1966-10-15,1507.0676691729327
1966-10-16,1509.8511054293883
1966-10-17,1512.635379061372
1966-10-18,1515.4204904468186
1966-10-19,1518.2064399638887
1966-10-20,1520.993227990971
1966-10-21,1523.7808549066833
1966-10-22,1526.5693210898694
1966-10-23,1529.358626919603
1966-10-24,1532.148772775185
1966-10-25,1534.939759036145
1966-10-26,1537.7315860822416
1966-10-27,1540.5242542934623
1966-10-28,1543.317764050023
1966-10-29,1546.1121157323694
1966-10-30,1548.9073097211763
1966-10-31,1551.7033463973473
1966-11-01,1554.5002261420173
1966-11-02,1557.2979493365506
1966-11-03,1560.0965163625401
1966-11-04,1562.89592760181
1966-11-05,1565.696183436416
1966-11-06,1568.4972842486422
1966-11-07,1571.2992304210054
1966-11-08,1574.1020223362511
1966-11-09,1576.9056603773588
1966-11-10,1579.7101449275365
1966-11-11,1582.5154763702253
1966-11-12,1585.3216550890975
1966-11-13,1588.1286814680568
1966-11-14,1590.936555891239
1966-11-15,1593.745278743013
1966-11-16,1596.5548504079788
1966-11-17,1599.3652712709695
1966-11-18,1602.1765417170502
1966-11-19,1604.98866213152
1966-11-20,1607.8016328999097
1966-11-21,1610.6154544079845
1966-11-22,1613.4301270417432
1966-11-23,1616.2456511874154
1966-11-24,1619.062027231468
1966-11-25,1621.8792555605999
1966-11-26,1624.6973365617437
1966-11-27,1627.516270622068
1966-11-28,1630.3360581289742
1966-11-29,1633.1566994700984
1966-11-30,1635.9781950333138
1966-12-01,1638.8005452067248
1966-12-02,1641.6237503786738
1966-12-03,1644.4478109377374
1966-12-04,1647.272727272728
1966-12-05,1650.0984997726937
1966-12-06,1652.9251288269177
1966-12-07,1655.7526148249208
1966-12-08,1658.580958156459
1966-12-09,1661.4101592115242
1966-12-10,1664.2402183803465
1966-12-11,1667.0711360533903
1966-12-12,1669.90291262136
1966-12-13,1672.735548475194
1966-12-14,1675.56904400607
1966-12-15,1678.4033996054034
1966-12-16,1681.2386156648454
1966-12-17,1684.0746925762871
1966-12-18,1686.9116307318561
1966-12-19,1689.7494305239184
1966-12-20,1692.5880923450793
1966-12-21,1695.4276165881818
1966-12-22,1698.268003646309
1966-12-23,1701.1092539127796
1966-12-24,1703.9513677811553
1966-12-25,1706.7943456452356
1966-12-26,1709.6381878990578
1966-12-27,1712.4828949369023
1966-12-28,1715.3284671532854
1966-12-29,1718.1749049429661
1966-12-30,1721.022208700944
1966-12-31,1723.8703788224564
1967-01-01,1722.5767243998794
1967-01-02,1721.2866029434088
1967-01-03,1720.0000000000007
1967-01-04,1718.7169011953401
1967-01-05,1717.4372922333037
1967-01-06,1716.1611588954283
1967-01-07,1714.8884870403863
1967-01-08,1713.619262603462
1967-01-09,1712.3534715960334
1967-01-10,1711.0911001050583
1967-01-11,1709.8321342925665
1967-01-12,1708.576560395151
1967-01-13,1707.3243647234683
1967-01-14,1706.075533661741
1967-01-15,1704.8300536672634
1967-01-16,1703.587911269913
1967-01-17,1702.3490930716625
1967-01-18,1701.1135857461027
1967-01-19,1699.88137603796
1967-01-20,1698.6524507626243
1967-01-21,1697.4267968056795
1967-01-22,1696.204401122434
1967-01-23,1694.9852507374635
1967-01-24,1693.7693327441455
1967-01-25,1692.5566343042076
1967-01-26,1691.3471426472756
1967-01-27,1690.1408450704228
1967-01-28,1688.9377289377292
1967-01-29,1687.7377816798364
1967-01-30,1686.5409907935114
1967-01-31,1685.3473438412143
1967-02-01,1684.1568284506634
1967-02-02,1682.9694323144104
1967-02-03,1681.7851431894173
1967-02-04,1680.603948896632
1967-02-05,1679.4258373205744
1967-02-06,1678.25079640892
1967-02-07,1677.0788141720896
1967-02-08,1675.9098786828429
1967-02-09,1674.743978075869
1967-02-10,1673.5811005473931
1967-02-11,1672.4212343547697
1967-02-12,1671.2643678160925
1967-02-13,1670.1104893098009
1967-02-14,1668.9595872742905
1967-02-15,1667.8116502075286
1967-02-16,1666.666666666667
1967-02-17,1665.5246252676661
1967-02-18,1664.3855146849164
1967-02-19,1663.249323650862
1967-02-20,1662.1160409556314
1967-02-21,1660.98565544667
1967-02-22,1659.858156028369
1967-02-23,1658.7335316617086
1967-02-24,1657.6117713638941
1967-02-25,1656.4928642079976
1967-02-26,1655.3767993226081
1967-02-27,1654.263565891473
1967-02-28,1653.1531531531537
1967-03-01,1652.045550400675
1967-03-02,1650.9407469811854
1967-03-03,1649.8387322956112
1967-03-04,1648.7394957983195
1967-03-05,1647.6430269967832
1967-03-06,1646.5493154512437
1967-03-07,1645.4583507743828
1967-03-08,1644.3701226309927
1967-03-09,1643.2846207376479
1967-03-10,1642.2018348623856
1967-03-11,1641.121754824379
1967-03-12,1640.044370493622
1967-03-13,1638.9696717906113
1967-03-14,1637.8976486860306
1967-03-15,1636.8282912004424
1967-03-16,1635.7615894039739
1967-03-17,1634.6975334160124
1967-03-18,1633.6361134049
1967-03-19,1632.577319587629
1967-03-20,1631.5211422295445
1967-03-21,1630.4675716440422
1967-03-22,1629.416598192276
1967-03-23,1628.368212282862
1967-03-24,1627.3224043715848
1967-03-25,1626.279164961114
1967-03-26,1625.238484600709
1967-03-27,1624.20035388594
1967-03-28,1623.164763458402
1967-03-29,1622.131704005431
1967-03-30,1621.1011662598323
1967-03-31,1620.073140999594
1967-04-01,1617.2371803544854
1967-04-02,1614.4073523449122
1967-04-03,1611.5836371000407
1967-04-04,1608.7660148347945
1967-04-05,1605.9544658493867
1967-04-06,1603.148970528866
