,GBPUSD Curncy_ratio
10236,1062.068385773066
10237,1062.068385773066
10238,1062.068385773066
10239,1062.068385773066
10240,1062.068385773066
10241,1062.068385773066
10242,1062.068385773066
10243,1062.068385773066
10244,1062.068385773066
10245,1062.068385773066
10246,1062.068385773066
10247,1062.068385773066
10248,1062.068385773066
10249,1062.068385773066
10250,1062.068385773066
10251,1062.068385773066
10252,1062.068385773066
10253,1062.068385773066
10254,1062.068385773066
10255,1062.068385773066
10256,1062.068385773066
10257,1062.068385773066
10258,1062.068385773066
10259,1062.068385773066
10260,1062.068385773066
10261,1062.068385773066
10262,1062.068385773066
10263,1062.068385773066
10264,1062.068385773066
10265,1062.068385773066
10266,1062.068385773066
10267,1062.068385773066
10268,1062.068385773066
10269,1062.068385773066
10270,1062.068385773066
10271,1062.068385773066
10272,1062.068385773066
10273,1062.068385773066
10274,1062.068385773066
10275,1062.068385773066
10276,1062.068385773066
10277,1062.068385773066
10278,1062.068385773066
10279,1062.068385773066
10280,1062.068385773066
10281,1062.068385773066
10282,1062.068385773066
10283,1062.068385773066
10284,1062.068385773066
10285,1062.068385773066
10286,1062.068385773066
10287,1062.068385773066
10288,1062.068385773066
10289,1062.068385773066
10290,1062.068385773066
10291,1062.068385773066
10292,1062.068385773066
10293,1062.068385773066
10294,1062.068385773066
10295,1062.068385773066
10296,1062.068385773066
10297,1062.068385773066
10298,1062.068385773066
10299,1062.068385773066
10300,1062.068385773066
10301,1062.068385773066
10302,1062.068385773066
10303,1062.068385773066
10304,1062.068385773066
10305,1062.068385773066
10306,1062.068385773066
10307,1062.068385773066
10308,1062.068385773066
10309,1062.068385773066
10310,1062.068385773066
10311,1062.068385773066
10312,1062.068385773066
10313,1062.068385773066
10314,1062.068385773066
10315,1062.068385773066
10316,952.4604439507583
10317,952.4604439507583
10318,952.4604439507583
10319,952.4604439507583
10320,952.4604439507583
10321,952.4604439507583
10322,952.4604439507583
10323,952.4604439507583
10324,952.4604439507583
10325,952.4604439507583
10326,952.4604439507583
10327,952.4604439507583
10328,952.4604439507583
10329,952.4604439507583
10330,952.4604439507583
10331,952.4604439507583
10332,952.4604439507583
10333,952.4604439507583
10334,952.4604439507583
10335,952.4604439507583
10336,952.4604439507583
10337,952.4604439507583
10338,952.4604439507583
