,NHSPATOT Index_ratio
10330,1055.596182989385
10331,1055.596182989385
10332,1055.596182989385
10333,1055.596182989385
10334,1055.596182989385
10335,1055.596182989385
10336,1055.596182989385
10337,1055.596182989385
10338,1055.596182989385
10339,1055.596182989385
10340,1055.596182989385
10341,1055.596182989385
10342,1055.596182989385
10343,1055.596182989385
10344,1055.596182989385
10345,1055.596182989385
10346,1055.596182989385
10347,1055.596182989385
10348,1055.596182989385
10349,1055.596182989385
10350,1055.596182989385
10351,1055.596182989385
10352,1055.596182989385
10353,1055.596182989385
10354,1055.596182989385
10355,1055.596182989385
10356,1055.596182989385
10357,1055.596182989385
10358,1055.596182989385
10359,1055.596182989385
10360,1055.596182989385
10361,1055.596182989385
10362,1055.596182989385
10363,1055.596182989385
10364,1055.596182989385
10365,1055.596182989385
10366,1055.596182989385
10367,1055.596182989385
10368,1055.596182989385
10369,1055.596182989385
10370,1055.596182989385
10371,1055.596182989385
10372,1055.596182989385
10373,1055.596182989385
10374,1055.596182989385
10375,1055.596182989385
10376,1055.596182989385
10377,1055.596182989385
10378,1055.596182989385
10379,1055.596182989385
10380,1055.596182989385
10381,1055.596182989385
10382,1055.596182989385
10383,1055.596182989385
10384,1055.596182989385
10385,1055.596182989385
10386,1055.596182989385
10387,1055.596182989385
10388,1055.596182989385
10389,1055.596182989385
10390,1055.596182989385
10391,1055.596182989385
10392,1055.596182989385
10393,1055.596182989385
10394,1055.596182989385
10395,1055.596182989385
10396,1055.596182989385
10397,1055.596182989385
10398,1055.596182989385
10399,1055.596182989385
10400,1055.596182989385
10401,1055.596182989385
10402,1055.596182989385
10403,1055.596182989385
10404,1055.596182989385
10405,1055.596182989385
10406,1055.596182989385
10407,988.0381058321735
10408,988.0381058321735
10409,988.0381058321735
10410,988.0381058321735
10411,988.0381058321735
10412,988.0381058321735
10413,988.0381058321735
10414,988.0381058321735
10415,988.0381058321735
10416,988.0381058321735
10417,988.0381058321735
10418,988.0381058321735
10419,988.0381058321735
10420,988.0381058321735
10421,988.0381058321735
10422,988.0381058321735
10423,988.0381058321735
10424,988.0381058321735
10425,988.0381058321735
10426,988.0381058321735
10427,988.0381058321735
10428,988.0381058321735
10429,988.0381058321735
10430,988.0381058321735
10431,988.0381058321735
10432,988.0381058321735
10433,988.0381058321735
10434,988.0381058321735
10435,988.0381058321735
10436,988.0381058321735
10437,988.0381058321735
10438,988.0381058321735
10439,988.0381058321735
10440,988.0381058321735
10441,988.0381058321735
10442,988.0381058321735
10443,988.0381058321735
10444,988.0381058321735
10445,988.0381058321735
10446,988.0381058321735
10447,988.0381058321735
10448,988.0381058321735
10449,988.0381058321735
10450,988.0381058321735
10451,988.0381058321735
10452,988.0381058321735
10453,988.0381058321735
10454,988.0381058321735
10455,988.0381058321735
10456,988.0381058321735
10457,988.0381058321735
10458,988.0381058321735
10459,988.0381058321735
10460,988.0381058321735
10461,988.0381058321735
10462,988.0381058321735
10463,988.0381058321735
10464,988.0381058321735
