,CPI CHNG Index_ratio
10326,1445.318773084953
10327,1445.318773084953
10328,1445.318773084953
10329,1445.318773084953
10330,1445.318773084953
10331,1445.318773084953
10332,1445.318773084953
10333,1445.318773084953
10334,1445.318773084953
10335,1445.318773084953
10336,1445.318773084953
10337,1445.318773084953
10338,1445.318773084953
10339,1445.318773084953
10340,1445.318773084953
10341,1445.318773084953
10342,1445.318773084953
10343,1445.318773084953
10344,1445.318773084953
10345,1445.318773084953
10346,1445.318773084953
10347,1445.318773084953
10348,1445.318773084953
10349,1445.318773084953
10350,1445.318773084953
10351,1445.318773084953
10352,1445.318773084953
10353,1445.318773084953
10354,1445.318773084953
10355,1445.318773084953
10356,1445.318773084953
10357,1445.318773084953
10358,1445.318773084953
10359,1445.318773084953
10360,1445.318773084953
10361,1445.318773084953
10362,1445.318773084953
10363,1445.318773084953
10364,1445.318773084953
10365,1445.318773084953
10366,1445.318773084953
10367,1445.318773084953
10368,1445.318773084953
10369,1445.318773084953
10370,1445.318773084953
10371,1445.318773084953
10372,1445.318773084953
10373,1445.318773084953
10374,1445.318773084953
10375,1445.318773084953
10376,1445.318773084953
10377,1445.318773084953
10378,1445.318773084953
10379,1445.318773084953
10380,1445.318773084953
10381,1445.318773084953
10382,1445.318773084953
10383,1445.318773084953
10384,1445.318773084953
10385,1445.318773084953
10386,1445.318773084953
10387,1445.318773084953
10388,1445.318773084953
10389,1445.318773084953
10390,1445.318773084953
10391,1445.318773084953
10392,1445.318773084953
10393,1445.318773084953
10394,1445.318773084953
10395,1445.318773084953
10396,1445.318773084953
10397,1445.318773084953
10398,1445.318773084953
10399,1445.318773084953
10400,1445.318773084953
10401,1445.318773084953
10402,1445.318773084953
10403,1445.318773084953
10404,1445.318773084953
10405,1445.318773084953
10406,1445.318773084953
10407,956.6304347826082
10408,956.6304347826082
10409,956.6304347826082
10410,956.6304347826082
10411,956.6304347826082
10412,956.6304347826082
10413,956.6304347826082
10414,956.6304347826082
10415,956.6304347826082
10416,956.6304347826082
10417,956.6304347826082
10418,956.6304347826082
10419,956.6304347826082
10420,956.6304347826082
10421,956.6304347826082
10422,956.6304347826082
10423,956.6304347826082
10424,956.6304347826082
10425,956.6304347826082
10426,956.6304347826082
10427,956.6304347826082
10428,956.6304347826082
10429,956.6304347826082
10430,956.6304347826082
10431,956.6304347826082
10432,956.6304347826082
10433,956.6304347826082
10434,956.6304347826082
10435,956.6304347826082
10436,956.6304347826082
10437,956.6304347826082
10438,956.6304347826082
10439,956.6304347826082
10440,956.6304347826082
10441,956.6304347826082
10442,956.6304347826082
10443,956.6304347826082
10444,956.6304347826082
10445,956.6304347826082
10446,956.6304347826082
10447,956.6304347826082
10448,956.6304347826082
10449,956.6304347826082
10450,956.6304347826082
10451,956.6304347826082
10452,956.6304347826082
10453,956.6304347826082
10454,956.6304347826082
10455,956.6304347826082
