,USDMXN Curncy_ratio
10239,1002.794665985819
10240,1002.794665985819
10241,1002.794665985819
10242,1002.794665985819
10243,1002.794665985819
10244,1002.794665985819
10245,1002.794665985819
10246,1002.794665985819
10247,1002.794665985819
10248,1002.794665985819
10249,1002.794665985819
10250,1002.794665985819
10251,1002.794665985819
10252,1002.794665985819
10253,1002.794665985819
10254,1002.794665985819
10255,1002.794665985819
10256,1002.794665985819
10257,1002.794665985819
10258,1002.794665985819
10259,1002.794665985819
10260,1002.794665985819
10261,1002.794665985819
10262,1002.794665985819
10263,1002.794665985819
10264,1002.794665985819
10265,1002.794665985819
10266,1002.794665985819
10267,1002.794665985819
10268,1002.794665985819
10269,1002.794665985819
10270,1002.794665985819
10271,1002.794665985819
10272,1002.794665985819
10273,1002.794665985819
10274,1002.794665985819
10275,1002.794665985819
10276,1002.794665985819
10277,1002.794665985819
10278,1002.794665985819
10279,1002.794665985819
10280,1002.794665985819
10281,1002.794665985819
10282,1002.794665985819
10283,1002.794665985819
10284,1002.794665985819
10285,1002.794665985819
10286,1002.794665985819
10287,1002.794665985819
10288,1002.794665985819
10289,1002.794665985819
10290,1002.794665985819
10291,1002.794665985819
10292,1002.794665985819
10293,1002.794665985819
10294,1002.794665985819
10295,1002.794665985819
10296,1002.794665985819
10297,1002.794665985819
10298,1002.794665985819
10299,1002.794665985819
10300,1002.794665985819
10301,1002.794665985819
10302,1002.794665985819
10303,1002.794665985819
10304,1002.794665985819
10305,1002.794665985819
10306,1002.794665985819
10307,1002.794665985819
10308,1002.794665985819
10309,1002.794665985819
10310,1002.794665985819
10311,1002.794665985819
10312,1002.794665985819
10313,1002.794665985819
10314,1002.794665985819
10315,1002.794665985819
10316,1000.980280699196
10317,1000.980280699196
10318,1000.980280699196
10319,1000.980280699196
10320,1000.980280699196
10321,1000.980280699196
10322,1000.980280699196
10323,1000.980280699196
10324,1000.980280699196
10325,1000.980280699196
10326,1000.980280699196
10327,1000.980280699196
10328,1000.980280699196
10329,1000.980280699196
10330,1000.980280699196
10331,1000.980280699196
10332,1000.980280699196
10333,1000.980280699196
10334,1000.980280699196
10335,1000.980280699196
10336,1000.980280699196
10337,1000.980280699196
10338,1000.980280699196
10339,1000.980280699196
10340,1000.980280699196
10341,1000.980280699196
10342,1000.980280699196
10343,1000.980280699196
10344,1000.980280699196
10345,1000.980280699196
10346,1000.980280699196
10347,1000.980280699196
10348,1000.980280699196
10349,1000.980280699196
10350,1000.980280699196
10351,1000.980280699196
10352,1000.980280699196
10353,1000.980280699196
10354,1000.980280699196
10355,1000.980280699196
10356,1000.980280699196
10357,1000.980280699196
10358,1000.980280699196
10359,1000.980280699196
10360,1000.980280699196
10361,1000.980280699196
10362,1000.980280699196
10363,1000.980280699196
10364,1000.980280699196
10365,1000.980280699196
10366,1000.980280699196
10367,1000.980280699196
10368,1000.980280699196
10369,1000.980280699196
10370,1000.980280699196
10371,1000.980280699196
10372,1000.980280699196
10373,1000.980280699196
10374,1000.980280699196
10375,1000.980280699196
10376,1000.980280699196
10377,1000.980280699196
10378,1000.980280699196
10379,1000.980280699196
10380,1000.980280699196
10381,1000.980280699196
10382,1000.980280699196
10383,1000.980280699196
10384,1000.980280699196
10385,1000.980280699196
10386,1000.980280699196
10387,1000.980280699196
10388,1000.980280699196
10389,1000.980280699196
10390,1000.980280699196
10391,1000.980280699196
10392,1000.980280699196
10393,1000.980280699196
10394,1000.980280699196
10395,1000.980280699196
10396,1000.980280699196
10397,1000.980280699196
10398,1000.980280699196
10399,1000.980280699196
10400,1000.980280699196
10401,1000.980280699196
10402,1000.980280699196
10403,1000.980280699196
10404,1000.980280699196
10405,1000.980280699196
10406,1000.980280699196
10407,1002.5795564127285
10408,1002.5795564127285
10409,1002.5795564127285
10410,1002.5795564127285
10411,1002.5795564127285
10412,1002.5795564127285
10413,1002.5795564127285
10414,1002.5795564127285
10415,1002.5795564127285
10416,1002.5795564127285
10417,1002.5795564127285
10418,1002.5795564127285
10419,1002.5795564127285
10420,1002.5795564127285
10421,1002.5795564127285
10422,1002.5795564127285
10423,1002.5795564127285
10424,1002.5795564127285
10425,1002.5795564127285
