,CHPMINDX Index_ratio
10124,961.3003980916543
10125,961.3003980916543
10126,961.3003980916543
10127,961.3003980916543
10128,961.3003980916543
10129,961.3003980916543
10130,961.3003980916543
10131,961.3003980916543
10132,961.3003980916543
10133,961.3003980916543
10134,1027.228518988061
10135,1027.228518988061
10136,1027.228518988061
10137,1027.228518988061
10138,1027.228518988061
10139,1027.228518988061
10140,1027.228518988061
10141,1027.228518988061
10142,1027.228518988061
10143,1027.228518988061
10144,1027.228518988061
10145,1027.228518988061
10146,1027.228518988061
10147,1027.228518988061
10148,1027.228518988061
10149,1027.228518988061
10150,1027.228518988061
10151,1027.228518988061
10152,1027.228518988061
10153,1027.228518988061
10154,1027.228518988061
10155,1027.228518988061
10156,1027.228518988061
10157,1027.228518988061
10158,1027.228518988061
10159,1027.228518988061
10160,1027.228518988061
10161,1027.228518988061
10162,1027.228518988061
10163,1027.228518988061
10164,1027.228518988061
10165,1027.228518988061
10166,1027.228518988061
10167,1027.228518988061
10168,1027.228518988061
10169,1027.228518988061
10170,1027.228518988061
10171,1027.228518988061
10172,1027.228518988061
10173,1027.228518988061
10174,1027.228518988061
10175,1027.228518988061
10176,1027.228518988061
10177,1027.228518988061
10178,1027.228518988061
10179,1027.228518988061
10180,1027.228518988061
10181,1027.228518988061
10182,1027.228518988061
10183,1027.228518988061
10184,1027.228518988061
10185,1027.228518988061
10186,1027.228518988061
10187,1027.228518988061
10188,1027.228518988061
10189,1027.228518988061
10190,1027.228518988061
10191,1027.228518988061
10192,1027.228518988061
10193,1027.228518988061
10194,1027.228518988061
10195,1027.228518988061
10196,1027.228518988061
10197,1027.228518988061
10198,1027.228518988061
10199,1027.228518988061
10200,1027.228518988061
10201,1027.228518988061
10202,1027.228518988061
10203,1027.228518988061
10204,1027.228518988061
10205,1027.228518988061
10206,1027.228518988061
10207,1027.228518988061
10208,1027.228518988061
10209,1027.228518988061
10210,1027.228518988061
10211,1027.228518988061
10212,1027.228518988061
10213,1027.228518988061
10214,1027.228518988061
10215,1027.228518988061
10216,1027.228518988061
10217,1027.228518988061
10218,1027.228518988061
10219,1027.228518988061
10220,1027.228518988061
10221,1027.228518988061
10222,1027.228518988061
10223,1027.228518988061
10224,1027.228518988061
10225,1027.228518988061
10226,1085.8474964796799
10227,1085.8474964796799
10228,1085.8474964796799
10229,1085.8474964796799
10230,1085.8474964796799
10231,1085.8474964796799
10232,1085.8474964796799
10233,1085.8474964796799
10234,1085.8474964796799
10235,1085.8474964796799
10236,1085.8474964796799
10237,1085.8474964796799
10238,1085.8474964796799
10239,1085.8474964796799
10240,1085.8474964796799
10241,1085.8474964796799
10242,1085.8474964796799
10243,1085.8474964796799
10244,1085.8474964796799
10245,1085.8474964796799
10246,1085.8474964796799
10247,1085.8474964796799
10248,1085.8474964796799
10249,1085.8474964796799
10250,1085.8474964796799
10251,1085.8474964796799
10252,1085.8474964796799
10253,1085.8474964796799
10254,1085.8474964796799
10255,1085.8474964796799
