,AUDUSD Curncy_ratio
10644,982.2947046640459
10645,982.2947046640459
10646,982.2947046640459
10647,982.2947046640459
10648,982.2947046640459
10649,982.2947046640459
10650,982.2947046640459
10651,982.2947046640459
10652,982.2947046640459
10653,982.2947046640459
10654,982.2947046640459
10655,982.2947046640459
10656,982.2947046640459
10657,982.2947046640459
10658,982.2947046640459
10659,982.2947046640459
10660,982.2947046640459
10661,982.2947046640459
10662,982.2947046640459
10663,982.2947046640459
10664,982.2947046640459
10665,982.2947046640459
10666,982.2947046640459
10667,982.2947046640459
10668,982.2947046640459
10669,982.2947046640459
10670,982.2947046640459
10671,982.2947046640459
10672,982.2947046640459
10673,982.2947046640459
10674,982.2947046640459
10675,982.2947046640459
10676,982.2947046640459
10677,982.2947046640459
10678,982.2947046640459
10679,982.2947046640459
10680,982.2947046640459
10681,979.7310323830845
10682,979.7310323830845
10683,979.7310323830845
10684,979.7310323830845
10685,979.7310323830845
10686,979.7310323830845
10687,979.7310323830845
10688,979.7310323830845
10689,979.7310323830845
10690,979.7310323830845
10691,979.7310323830845
10692,979.7310323830845
10693,979.7310323830845
10694,979.7310323830845
10695,979.7310323830845
10696,979.7310323830845
10697,979.7310323830845
10698,979.7310323830845
10699,979.7310323830845
10700,979.7310323830845
10701,979.7310323830845
10702,979.7310323830845
10703,979.7310323830845
10704,979.7310323830845
10705,979.7310323830845
10706,979.7310323830845
10707,979.7310323830845
10708,979.7310323830845
10709,979.7310323830845
10710,979.7310323830845
10711,979.7310323830845
10712,979.7310323830845
10713,979.7310323830845
10714,979.7310323830845
10715,979.7310323830845
10716,979.7310323830845
10717,979.7310323830845
10718,979.7310323830845
10719,979.7310323830845
10720,979.7310323830845
10721,979.7310323830845
10722,979.7310323830845
10723,979.7310323830845
10724,979.7310323830845
10725,979.7310323830845
10726,979.7310323830845
10727,979.7310323830845
10728,979.7310323830845
10729,979.7310323830845
10730,979.7310323830845
10731,979.7310323830845
10732,979.7310323830845
10733,979.7310323830845
10734,979.7310323830845
10735,979.7310323830845
10736,979.7310323830845
10737,979.7310323830845
10738,979.7310323830845
10739,979.7310323830845
10740,979.7310323830845
10741,979.7310323830845
10742,979.7310323830845
10743,979.7310323830845
10744,979.7310323830845
10745,979.7310323830845
10746,979.7310323830845
10747,979.7310323830845
10748,979.7310323830845
10749,979.7310323830845
10750,979.7310323830845
10751,979.7310323830845
10752,979.7310323830845
10753,979.7310323830845
10754,979.7310323830845
10755,979.7310323830845
10756,979.7310323830845
10757,979.7310323830845
10758,979.7310323830845
10759,979.7310323830845
10760,979.7310323830845
10761,979.7310323830845
10762,979.7310323830845
10763,979.7310323830845
10764,979.7310323830845
10765,979.7310323830845
10766,979.7310323830845
10767,979.7310323830845
10768,979.7310323830845
10769,979.7310323830845
10770,979.7310323830845
10771,979.7310323830845
10772,1017.496338339658
10773,1017.496338339658
10774,1017.496338339658
10775,1017.496338339658
10776,1017.496338339658
