,NHSLTOT Index_ratio
10311,972.4390201316501
10312,972.4390201316501
10313,972.4390201316501
10314,972.4390201316501
10315,972.4390201316501
10316,1047.4027314828472
10317,1047.4027314828472
10318,1047.4027314828472
10319,1047.4027314828472
10320,1047.4027314828472
10321,1047.4027314828472
10322,1047.4027314828472
10323,1047.4027314828472
10324,1047.4027314828472
10325,1047.4027314828472
10326,1047.4027314828472
10327,1047.4027314828472
10328,1047.4027314828472
10329,1047.4027314828472
10330,1047.4027314828472
10331,1047.4027314828472
10332,1047.4027314828472
10333,1047.4027314828472
10334,1047.4027314828472
10335,1047.4027314828472
10336,1047.4027314828472
10337,1047.4027314828472
10338,1047.4027314828472
10339,1047.4027314828472
10340,1047.4027314828472
10341,1047.4027314828472
10342,1047.4027314828472
10343,1047.4027314828472
10344,1047.4027314828472
10345,1047.4027314828472
10346,1047.4027314828472
10347,1047.4027314828472
10348,1047.4027314828472
10349,1047.4027314828472
10350,1047.4027314828472
10351,1047.4027314828472
10352,1047.4027314828472
10353,1047.4027314828472
10354,1047.4027314828472
10355,1047.4027314828472
10356,1047.4027314828472
10357,1047.4027314828472
10358,1047.4027314828472
10359,1047.4027314828472
10360,1047.4027314828472
10361,1047.4027314828472
10362,1047.4027314828472
10363,1047.4027314828472
10364,1047.4027314828472
10365,1047.4027314828472
10366,1047.4027314828472
10367,1047.4027314828472
10368,1047.4027314828472
10369,1047.4027314828472
10370,1047.4027314828472
10371,1047.4027314828472
10372,1047.4027314828472
10373,1047.4027314828472
10374,1047.4027314828472
10375,1047.4027314828472
10376,1047.4027314828472
10377,1047.4027314828472
10378,1047.4027314828472
10379,1047.4027314828472
10380,1047.4027314828472
10381,1047.4027314828472
10382,1047.4027314828472
10383,1047.4027314828472
10384,1047.4027314828472
10385,1047.4027314828472
10386,1047.4027314828472
10387,1047.4027314828472
10388,1047.4027314828472
10389,1047.4027314828472
10390,1047.4027314828472
10391,1047.4027314828472
10392,1047.4027314828472
10393,1047.4027314828472
10394,1047.4027314828472
10395,1047.4027314828472
10396,1047.4027314828472
10397,1047.4027314828472
10398,1047.4027314828472
10399,1047.4027314828472
10400,1047.4027314828472
10401,1047.4027314828472
10402,1047.4027314828472
10403,1047.4027314828472
10404,1047.4027314828472
10405,1047.4027314828472
10406,1047.4027314828472
10407,938.1786590651953
10408,938.1786590651953
10409,938.1786590651953
10410,938.1786590651953
10411,938.1786590651953
10412,938.1786590651953
10413,938.1786590651953
10414,938.1786590651953
10415,938.1786590651953
10416,938.1786590651953
10417,938.1786590651953
10418,938.1786590651953
10419,938.1786590651953
10420,938.1786590651953
10421,938.1786590651953
10422,938.1786590651953
10423,938.1786590651953
10424,938.1786590651953
10425,938.1786590651953
10426,938.1786590651953
10427,938.1786590651953
10428,938.1786590651953
10429,938.1786590651953
10430,938.1786590651953
10431,938.1786590651953
10432,938.1786590651953
10433,938.1786590651953
10434,938.1786590651953
10435,938.1786590651953
10436,938.1786590651953
10437,938.1786590651953
10438,938.1786590651953
10439,938.1786590651953
10440,938.1786590651953
10441,938.1786590651953
10442,938.1786590651953
10443,938.1786590651953
10444,938.1786590651953
10445,938.1786590651953
10446,938.1786590651953
10447,938.1786590651953
10448,938.1786590651953
10449,938.1786590651953
10450,938.1786590651953
10451,938.1786590651953
10452,938.1786590651953
10453,938.1786590651953
10454,938.1786590651953
10455,938.1786590651953
10456,938.1786590651953
10457,938.1786590651953
10458,938.1786590651953
10459,938.1786590651953
10460,938.1786590651953
10461,938.1786590651953
10462,938.1786590651953
10463,938.1786590651953
10464,938.1786590651953
10465,938.1786590651953
10466,938.1786590651953
10467,938.1786590651953
10468,938.1786590651953
10469,938.1786590651953
10470,938.1786590651953
10471,938.1786590651953
10472,938.1786590651953
10473,938.1786590651953
10474,938.1786590651953
10475,938.1786590651953
10476,938.1786590651953
10477,938.1786590651953
10478,938.1786590651953
10479,938.1786590651953
10480,938.1786590651953
10481,938.1786590651953
10482,938.1786590651953
10483,938.1786590651953
10484,938.1786590651953
10485,938.1786590651953
10486,938.1786590651953
10487,938.1786590651953
10488,938.1786590651953
10489,938.1786590651953
10490,938.1786590651953
10491,938.1786590651953
10492,938.1786590651953
10493,938.1786590651953
10494,938.1786590651953
10495,938.1786590651953
10496,938.1786590651953
10497,938.1786590651953
10498,938.1786590651953
10499,1042.3729974921544
10500,1042.3729974921544
10501,1042.3729974921544
10502,1042.3729974921544
10503,1042.3729974921544
10504,1042.3729974921544
10505,1042.3729974921544
10506,1042.3729974921544
