,PCE DEFY Index_ratio
10494,1044.2442249868184
10495,1044.2442249868184
10496,1044.2442249868184
10497,1044.2442249868184
10498,1044.2442249868184
10499,1066.7494566904688
10500,1066.7494566904688
10501,1066.7494566904688
10502,1066.7494566904688
10503,1066.7494566904688
10504,1066.7494566904688
10505,1066.7494566904688
10506,1066.7494566904688
10507,1066.7494566904688
10508,1066.7494566904688
10509,1066.7494566904688
10510,1066.7494566904688
10511,1066.7494566904688
10512,1066.7494566904688
10513,1066.7494566904688
10514,1066.7494566904688
10515,1066.7494566904688
10516,1066.7494566904688
10517,1066.7494566904688
10518,1066.7494566904688
10519,1066.7494566904688
10520,1066.7494566904688
10521,1066.7494566904688
10522,1066.7494566904688
10523,1066.7494566904688
10524,1066.7494566904688
10525,1066.7494566904688
10526,1066.7494566904688
10527,1066.7494566904688
10528,1066.7494566904688
10529,1066.7494566904688
10530,1066.7494566904688
10531,1066.7494566904688
10532,1066.7494566904688
10533,1066.7494566904688
10534,1066.7494566904688
10535,1066.7494566904688
10536,1066.7494566904688
10537,1066.7494566904688
10538,1066.7494566904688
10539,1066.7494566904688
10540,1066.7494566904688
10541,1066.7494566904688
10542,1066.7494566904688
10543,1066.7494566904688
10544,1066.7494566904688
10545,1066.7494566904688
10546,1066.7494566904688
10547,1066.7494566904688
10548,1066.7494566904688
10549,1066.7494566904688
10550,1066.7494566904688
10551,1066.7494566904688
10552,1066.7494566904688
10553,1066.7494566904688
10554,1066.7494566904688
10555,1066.7494566904688
10556,1066.7494566904688
10557,1066.7494566904688
10558,1066.7494566904688
10559,1066.7494566904688
10560,1066.7494566904688
10561,1066.7494566904688
10562,1066.7494566904688
10563,1066.7494566904688
10564,1066.7494566904688
10565,1066.7494566904688
10566,1066.7494566904688
10567,1066.7494566904688
10568,1066.7494566904688
10569,1066.7494566904688
10570,1066.7494566904688
10571,1066.7494566904688
10572,1066.7494566904688
10573,1066.7494566904688
10574,1066.7494566904688
10575,1066.7494566904688
10576,1066.7494566904688
10577,1066.7494566904688
10578,1066.7494566904688
10579,1066.7494566904688
10580,1066.7494566904688
10581,1066.7494566904688
10582,1066.7494566904688
10583,1066.7494566904688
10584,1066.7494566904688
10585,1066.7494566904688
10586,1066.7494566904688
10587,1066.7494566904688
10588,1066.7494566904688
10589,1066.7494566904688
10590,1066.7494566904688
10591,1031.2960807140084
10592,1031.2960807140084
10593,1031.2960807140084
10594,1031.2960807140084
10595,1031.2960807140084
10596,1031.2960807140084
10597,1031.2960807140084
10598,1031.2960807140084
10599,1031.2960807140084
10600,1031.2960807140084
10601,1031.2960807140084
10602,1031.2960807140084
10603,1031.2960807140084
10604,1031.2960807140084
10605,1031.2960807140084
10606,1031.2960807140084
10607,1031.2960807140084
10608,1031.2960807140084
10609,1031.2960807140084
10610,1031.2960807140084
10611,1031.2960807140084
10612,1031.2960807140084
10613,1031.2960807140084
10614,1031.2960807140084
10615,1031.2960807140084
10616,1031.2960807140084
10617,1031.2960807140084
10618,1031.2960807140084
10619,1031.2960807140084
10620,1031.2960807140084
10621,1031.2960807140084
10622,1031.2960807140084
10623,1031.2960807140084
10624,1031.2960807140084
10625,1031.2960807140084
10626,1031.2960807140084
10627,1031.2960807140084
10628,1031.2960807140084
10629,1031.2960807140084
10630,1031.2960807140084
10631,1031.2960807140084
10632,1031.2960807140084
10633,1031.2960807140084
10634,1031.2960807140084
10635,1031.2960807140084
10636,1031.2960807140084
10637,1031.2960807140084
10638,1031.2960807140084
10639,1031.2960807140084
10640,1031.2960807140084
10641,1031.2960807140084
10642,1031.2960807140084
10643,1031.2960807140084
10644,1031.2960807140084
10645,1031.2960807140084
10646,1031.2960807140084
10647,1031.2960807140084
10648,1031.2960807140084
10649,1031.2960807140084
10650,1031.2960807140084
10651,1031.2960807140084
10652,1031.2960807140084
10653,1031.2960807140084
10654,1031.2960807140084
10655,1031.2960807140084
10656,1031.2960807140084
10657,1031.2960807140084
10658,1031.2960807140084
10659,1031.2960807140084
10660,1031.2960807140084
10661,1031.2960807140084
10662,1031.2960807140084
10663,1031.2960807140084
10664,1031.2960807140084
10665,1031.2960807140084
10666,1031.2960807140084
10667,1031.2960807140084
10668,1031.2960807140084
10669,1031.2960807140084
10670,1031.2960807140084
10671,1031.2960807140084
10672,1031.2960807140084
10673,1031.2960807140084
10674,1031.2960807140084
10675,1031.2960807140084
10676,1031.2960807140084
10677,1031.2960807140084
10678,1031.2960807140084
10679,1031.2960807140084
10680,1031.2960807140084
10681,1069.8950551828093
10682,1069.8950551828093
10683,1069.8950551828093
10684,1069.8950551828093
10685,1069.8950551828093
10686,1069.8950551828093
10687,1069.8950551828093
10688,1069.8950551828093
10689,1069.8950551828093
10690,1069.8950551828093
10691,1069.8950551828093
10692,1069.8950551828093
10693,1069.8950551828093
10694,1069.8950551828093
10695,1069.8950551828093
10696,1069.8950551828093
10697,1069.8950551828093
10698,1069.8950551828093
10699,1069.8950551828093
10700,1069.8950551828093
10701,1069.8950551828093
10702,1069.8950551828093
10703,1069.8950551828093
10704,1069.8950551828093
10705,1069.8950551828093
10706,1069.8950551828093
10707,1069.8950551828093
10708,1069.8950551828093
10709,1069.8950551828093
10710,1069.8950551828093
10711,1069.8950551828093
10712,1069.8950551828093
10713,1069.8950551828093
10714,1069.8950551828093
10715,1069.8950551828093
10716,1069.8950551828093
10717,1069.8950551828093
10718,1069.8950551828093
10719,1069.8950551828093
10720,1069.8950551828093
10721,1069.8950551828093
10722,1069.8950551828093
10723,1069.8950551828093
10724,1069.8950551828093
10725,1069.8950551828093
10726,1069.8950551828093
10727,1069.8950551828093
10728,1069.8950551828093
10729,1069.8950551828093
10730,1069.8950551828093
10731,1069.8950551828093
10732,1069.8950551828093
10733,1069.8950551828093
10734,1069.8950551828093
10735,1069.8950551828093
10736,1069.8950551828093
10737,1069.8950551828093
10738,1069.8950551828093
10739,1069.8950551828093
10740,1069.8950551828093
10741,1069.8950551828093
10742,1069.8950551828093
10743,1069.8950551828093
10744,1069.8950551828093
10745,1069.8950551828093
10746,1069.8950551828093
10747,1069.8950551828093
10748,1069.8950551828093
10749,1069.8950551828093
10750,1069.8950551828093
10751,1069.8950551828093
10752,1069.8950551828093
10753,1069.8950551828093
10754,1069.8950551828093
10755,1069.8950551828093
10756,1069.8950551828093
10757,1069.8950551828093
10758,1069.8950551828093
10759,1069.8950551828093
10760,1069.8950551828093
10761,1069.8950551828093
10762,1069.8950551828093
10763,1069.8950551828093
10764,1069.8950551828093
10765,1069.8950551828093
10766,1069.8950551828093
10767,1069.8950551828093
10768,1069.8950551828093
10769,1069.8950551828093
10770,1069.8950551828093
10771,1069.8950551828093
10772,1088.834782608696
10773,1088.834782608696
10774,1088.834782608696
10775,1088.834782608696
10776,1088.834782608696
10777,1088.834782608696
10778,1088.834782608696
10779,1088.834782608696
10780,1088.834782608696
10781,1088.834782608696
10782,1088.834782608696
10783,1088.834782608696
10784,1088.834782608696
10785,1088.834782608696
10786,1088.834782608696
10787,1088.834782608696
10788,1088.834782608696
10789,1088.834782608696
10790,1088.834782608696
10791,1088.834782608696
10792,1088.834782608696
10793,1088.834782608696
10794,1088.834782608696
10795,1088.834782608696
10796,1088.834782608696
10797,1088.834782608696
10798,1088.834782608696
10799,1088.834782608696
10800,1088.834782608696
10801,1088.834782608696
10802,1088.834782608696
10803,1088.834782608696
10804,1088.834782608696
10805,1088.834782608696
10806,1088.834782608696
10807,1088.834782608696
10808,1088.834782608696
10809,1088.834782608696
10810,1088.834782608696
10811,1088.834782608696
10812,1088.834782608696
10813,1088.834782608696
10814,1088.834782608696
10815,1088.834782608696
10816,1088.834782608696
10817,1088.834782608696
10818,1088.834782608696
10819,1088.834782608696
10820,1088.834782608696
10821,1088.834782608696
10822,1088.834782608696
10823,1088.834782608696
10824,1088.834782608696
10825,1088.834782608696
10826,1088.834782608696
10827,1088.834782608696
10828,1088.834782608696
10829,1088.834782608696
10830,1088.834782608696
10831,1088.834782608696
10832,1088.834782608696
10833,1088.834782608696
10834,1088.834782608696
10835,1088.834782608696
10836,1088.834782608696
10837,1088.834782608696
10838,1088.834782608696
10839,1088.834782608696
10840,1088.834782608696
10841,1088.834782608696
10842,1088.834782608696
10843,1088.834782608696
10844,1088.834782608696
10845,1088.834782608696
10846,1088.834782608696
10847,1088.834782608696
10848,1088.834782608696
10849,1088.834782608696
10850,1088.834782608696
10851,1088.834782608696
10852,1088.834782608696
10853,1088.834782608696
10854,1088.834782608696
10855,1088.834782608696
10856,1088.834782608696
10857,1088.834782608696
10858,1088.834782608696
10859,1088.834782608696
10860,1088.834782608696
10861,1088.834782608696
10862,1088.834782608696
10863,1088.834782608696
10864,1074.127906976744
10865,1074.127906976744
10866,1074.127906976744
10867,1074.127906976744
10868,1074.127906976744
10869,1074.127906976744
10870,1074.127906976744
10871,1074.127906976744
10872,1074.127906976744
10873,1074.127906976744
10874,1074.127906976744
10875,1074.127906976744
10876,1074.127906976744
10877,1074.127906976744
10878,1074.127906976744
10879,1074.127906976744
10880,1074.127906976744
10881,1074.127906976744
10882,1074.127906976744
10883,1074.127906976744
10884,1074.127906976744
10885,1074.127906976744
10886,1074.127906976744
10887,1074.127906976744
10888,1074.127906976744
10889,1074.127906976744
10890,1074.127906976744
10891,1074.127906976744
10892,1074.127906976744
10893,1074.127906976744
10894,1074.127906976744
10895,1074.127906976744
10896,1074.127906976744
10897,1074.127906976744
10898,1074.127906976744
10899,1074.127906976744
10900,1074.127906976744
10901,1074.127906976744
10902,1074.127906976744
10903,1074.127906976744
10904,1074.127906976744
10905,1074.127906976744
10906,1074.127906976744
10907,1074.127906976744
10908,1074.127906976744
10909,1074.127906976744
10910,1074.127906976744
10911,1074.127906976744
10912,1074.127906976744
10913,1074.127906976744
10914,1074.127906976744
10915,1074.127906976744
10916,1074.127906976744
10917,1074.127906976744
10918,1074.127906976744
10919,1074.127906976744
10920,1074.127906976744
10921,1074.127906976744
10922,1074.127906976744
10923,1074.127906976744
10924,1074.127906976744
10925,1074.127906976744
10926,1074.127906976744
10927,1074.127906976744
10928,1074.127906976744
10929,1074.127906976744
10930,1074.127906976744
10931,1074.127906976744
10932,1074.127906976744
10933,1074.127906976744
10934,1074.127906976744
10935,1074.127906976744
10936,1074.127906976744
10937,1074.127906976744
10938,1074.127906976744
10939,1074.127906976744
10940,1074.127906976744
10941,1074.127906976744
10942,1074.127906976744
10943,1074.127906976744
10944,1074.127906976744
10945,1074.127906976744
10946,1074.127906976744
10947,1074.127906976744
10948,1074.127906976744
10949,1074.127906976744
10950,1074.127906976744
10951,1074.127906976744
10952,1074.127906976744
10953,1074.127906976744
10954,1074.127906976744
10955,1074.127906976744
10956,1098.0881995766972
10957,1098.0881995766972
10958,1098.0881995766972
10959,1098.0881995766972
10960,1098.0881995766972
10961,1098.0881995766972
10962,1098.0881995766972
10963,1098.0881995766972
10964,1098.0881995766972
10965,1098.0881995766972
10966,1098.0881995766972
10967,1098.0881995766972
10968,1098.0881995766972
10969,1098.0881995766972
10970,1098.0881995766972
10971,1098.0881995766972
10972,1098.0881995766972
10973,1098.0881995766972
10974,1098.0881995766972
10975,1098.0881995766972
10976,1098.0881995766972
10977,1098.0881995766972
10978,1098.0881995766972
10979,1098.0881995766972
10980,1098.0881995766972
10981,1098.0881995766972
10982,1098.0881995766972
10983,1098.0881995766972
10984,1098.0881995766972
10985,1098.0881995766972
10986,1098.0881995766972
10987,1098.0881995766972
10988,1098.0881995766972
10989,1098.0881995766972
10990,1098.0881995766972
10991,1098.0881995766972
10992,1098.0881995766972
10993,1098.0881995766972
10994,1098.0881995766972
10995,1098.0881995766972
10996,1098.0881995766972
10997,1098.0881995766972
10998,1098.0881995766972
10999,1098.0881995766972
11000,1098.0881995766972
11001,1098.0881995766972
11002,1098.0881995766972
11003,1098.0881995766972
11004,1098.0881995766972
11005,1098.0881995766972
11006,1098.0881995766972
11007,1098.0881995766972
11008,1098.0881995766972
11009,1098.0881995766972
11010,1098.0881995766972
11011,1098.0881995766972
11012,1098.0881995766972
11013,1098.0881995766972
11014,1098.0881995766972
11015,1098.0881995766972
11016,1098.0881995766972
11017,1098.0881995766972
11018,1098.0881995766972
11019,1098.0881995766972
11020,1098.0881995766972
11021,1098.0881995766972
11022,1098.0881995766972
11023,1098.0881995766972
11024,1098.0881995766972
11025,1098.0881995766972
11026,1098.0881995766972
11027,1098.0881995766972
11028,1098.0881995766972
11029,1098.0881995766972
11030,1098.0881995766972
11031,1098.0881995766972
11032,1098.0881995766972
11033,1098.0881995766972
11034,1098.0881995766972
11035,1098.0881995766972
11036,1098.0881995766972
11037,1098.0881995766972
11038,1098.0881995766972
11039,1098.0881995766972
11040,1098.0881995766972
11041,1098.0881995766972
11042,1098.0881995766972
11043,1098.0881995766972
11044,1098.0881995766972
11045,1098.0881995766972
11046,1098.0881995766972
11047,1047.4460132890367
11048,1047.4460132890367
11049,1047.4460132890367
11050,1047.4460132890367
11051,1047.4460132890367
11052,1047.4460132890367
11053,1047.4460132890367
11054,1047.4460132890367
11055,1047.4460132890367
11056,1047.4460132890367
11057,1047.4460132890367
11058,1047.4460132890367
11059,1047.4460132890367
11060,1047.4460132890367
11061,1047.4460132890367
11062,1047.4460132890367
11063,1047.4460132890367
11064,1047.4460132890367
11065,1047.4460132890367
11066,1047.4460132890367
11067,1047.4460132890367
11068,1047.4460132890367
11069,1047.4460132890367
11070,1047.4460132890367
11071,1047.4460132890367
11072,1047.4460132890367
11073,1047.4460132890367
11074,1047.4460132890367
11075,1047.4460132890367
11076,1047.4460132890367
11077,1047.4460132890367
11078,1047.4460132890367
11079,1047.4460132890367
11080,1047.4460132890367
11081,1047.4460132890367
11082,1047.4460132890367
11083,1047.4460132890367
11084,1047.4460132890367
11085,1047.4460132890367
11086,1047.4460132890367
11087,1047.4460132890367
11088,1047.4460132890367
11089,1047.4460132890367
11090,1047.4460132890367
11091,1047.4460132890367
11092,1047.4460132890367
11093,1047.4460132890367
11094,1047.4460132890367
11095,1047.4460132890367
11096,1047.4460132890367
11097,1047.4460132890367
11098,1047.4460132890367
11099,1047.4460132890367
11100,1047.4460132890367
11101,1047.4460132890367
11102,1047.4460132890367
11103,1047.4460132890367
11104,1047.4460132890367
11105,1047.4460132890367
11106,1047.4460132890367
11107,1047.4460132890367
11108,1047.4460132890367
11109,1047.4460132890367
11110,1047.4460132890367
11111,1047.4460132890367
11112,1047.4460132890367
11113,1047.4460132890367
11114,1047.4460132890367
11115,1047.4460132890367
11116,1047.4460132890367
11117,1047.4460132890367
11118,1047.4460132890367
11119,1047.4460132890367
11120,1047.4460132890367
11121,1047.4460132890367
11122,1047.4460132890367
11123,1047.4460132890367
11124,1047.4460132890367
11125,1047.4460132890367
11126,1047.4460132890367
11127,1047.4460132890367
11128,1047.4460132890367
11129,1047.4460132890367
11130,1047.4460132890367
11131,1047.4460132890367
11132,1047.4460132890367
11133,1047.4460132890367
11134,1047.4460132890367
11135,1047.4460132890367
11136,1047.4460132890367
11137,1047.4460132890367
11138,950.1103224777737
11139,950.1103224777737
11140,950.1103224777737
11141,950.1103224777737
11142,950.1103224777737
11143,950.1103224777737
11144,950.1103224777737
11145,950.1103224777737
11146,950.1103224777737
11147,950.1103224777737
11148,950.1103224777737
11149,950.1103224777737
11150,950.1103224777737
11151,950.1103224777737
11152,950.1103224777737
11153,950.1103224777737
11154,950.1103224777737
11155,950.1103224777737
11156,950.1103224777737
11157,950.1103224777737
11158,950.1103224777737
11159,950.1103224777737
11160,950.1103224777737
11161,950.1103224777737
11162,950.1103224777737
11163,950.1103224777737
11164,950.1103224777737
11165,950.1103224777737
11166,950.1103224777737
11167,950.1103224777737
11168,950.1103224777737
11169,950.1103224777737
11170,950.1103224777737
11171,950.1103224777737
11172,950.1103224777737
11173,950.1103224777737
11174,950.1103224777737
11175,950.1103224777737
11176,950.1103224777737
11177,950.1103224777737
11178,950.1103224777737
11179,950.1103224777737
11180,950.1103224777737
11181,950.1103224777737
11182,950.1103224777737
11183,950.1103224777737
11184,950.1103224777737
11185,950.1103224777737
11186,950.1103224777737
11187,950.1103224777737
11188,950.1103224777737
11189,950.1103224777737
11190,950.1103224777737
11191,950.1103224777737
11192,950.1103224777737
11193,950.1103224777737
11194,950.1103224777737
11195,950.1103224777737
11196,950.1103224777737
11197,950.1103224777737
11198,950.1103224777737
11199,950.1103224777737
11200,950.1103224777737
11201,950.1103224777737
11202,950.1103224777737
11203,950.1103224777737
11204,950.1103224777737
11205,950.1103224777737
11206,950.1103224777737
11207,950.1103224777737
11208,950.1103224777737
11209,950.1103224777737
11210,950.1103224777737
11211,950.1103224777737
11212,950.1103224777737
11213,950.1103224777737
11214,950.1103224777737
11215,950.1103224777737
11216,950.1103224777737
11217,950.1103224777737
11218,950.1103224777737
11219,950.1103224777737
11220,950.1103224777737
11221,950.1103224777737
11222,950.1103224777737
11223,950.1103224777737
11224,950.1103224777737
11225,950.1103224777737
11226,950.1103224777737
11227,950.1103224777737
