,LEI CHNG Index_ratio
10864,1498.194945848375
10865,1498.194945848375
10866,1498.194945848375
10867,1498.194945848375
10868,1498.194945848375
10869,1498.194945848375
10870,1498.194945848375
10871,1498.194945848375
10872,1498.194945848375
10873,1498.194945848375
10874,1498.194945848375
10875,1498.194945848375
10876,1498.194945848375
10877,1498.194945848375
10878,1498.194945848375
10879,1498.194945848375
10880,1498.194945848375
10881,1498.194945848375
10882,1498.194945848375
10883,1498.194945848375
10884,1498.194945848375
10885,1498.194945848375
10886,1498.194945848375
10887,1498.194945848375
10888,1498.194945848375
10889,1498.194945848375
10890,1498.194945848375
10891,1498.194945848375
10892,1498.194945848375
10893,1498.194945848375
10894,1498.194945848375
10895,1498.194945848375
10896,1498.194945848375
10897,1498.194945848375
10898,1498.194945848375
10899,1498.194945848375
10900,1498.194945848375
10901,1498.194945848375
10902,1498.194945848375
10903,1498.194945848375
10904,1498.194945848375
10905,1498.194945848375
10906,1498.194945848375
10907,1498.194945848375
10908,1498.194945848375
10909,1498.194945848375
10910,1498.194945848375
10911,1498.194945848375
10912,1498.194945848375
10913,1498.194945848375
10914,1498.194945848375
10915,1498.194945848375
10916,1498.194945848375
10917,1498.194945848375
10918,1498.194945848375
10919,1498.194945848375
10920,1498.194945848375
10921,1498.194945848375
10922,1498.194945848375
10923,1498.194945848375
10924,1498.194945848375
10925,1498.194945848375
10926,1498.194945848375
10927,1498.194945848375
10928,1498.194945848375
10929,1498.194945848375
10930,1498.194945848375
10931,1498.194945848375
10932,1498.194945848375
10933,1498.194945848375
10934,1498.194945848375
10935,1498.194945848375
10936,1498.194945848375
10937,1498.194945848375
10938,1498.194945848375
10939,1498.194945848375
10940,1498.194945848375
10941,1498.194945848375
10942,1498.194945848375
10943,1498.194945848375
10944,1498.194945848375
10945,1498.194945848375
10946,1498.194945848375
10947,1498.194945848375
10948,1498.194945848375
10949,1498.194945848375
10950,1498.194945848375
10951,1498.194945848375
10952,1498.194945848375
10953,1498.194945848375
10954,1498.194945848375
10955,1498.194945848375
10956,506.71256454388987
10957,506.71256454388987
10958,506.71256454388987
10959,506.71256454388987
10960,506.71256454388987
10961,506.71256454388987
10962,506.71256454388987
10963,506.71256454388987
10964,506.71256454388987
10965,506.71256454388987
10966,506.71256454388987
