,PCE DEFM Index_ratio
10470,771.4625097630826
10471,771.4625097630826
10472,771.4625097630826
10473,771.4625097630826
10474,771.4625097630826
10475,771.4625097630826
10476,771.4625097630826
10477,771.4625097630826
10478,771.4625097630826
10479,771.4625097630826
10480,771.4625097630826
10481,771.4625097630826
10482,771.4625097630826
10483,771.4625097630826
10484,771.4625097630826
10485,771.4625097630826
10486,771.4625097630826
10487,771.4625097630826
10488,771.4625097630826
10489,771.4625097630826
10490,771.4625097630826
10491,771.4625097630826
10492,771.4625097630826
10493,771.4625097630826
10494,771.4625097630826
10495,771.4625097630826
10496,771.4625097630826
10497,771.4625097630826
10498,771.4625097630826
10499,1172.7447216890594
10500,1172.7447216890594
10501,1172.7447216890594
10502,1172.7447216890594
10503,1172.7447216890594
10504,1172.7447216890594
10505,1172.7447216890594
10506,1172.7447216890594
10507,1172.7447216890594
10508,1172.7447216890594
10509,1172.7447216890594
10510,1172.7447216890594
10511,1172.7447216890594
10512,1172.7447216890594
10513,1172.7447216890594
10514,1172.7447216890594
10515,1172.7447216890594
10516,1172.7447216890594
10517,1172.7447216890594
10518,1172.7447216890594
10519,1172.7447216890594
10520,1172.7447216890594
10521,1172.7447216890594
10522,1172.7447216890594
10523,1172.7447216890594
10524,1172.7447216890594
10525,1172.7447216890594
10526,1172.7447216890594
10527,1172.7447216890594
10528,1172.7447216890594
10529,1172.7447216890594
10530,1172.7447216890594
10531,1172.7447216890594
10532,1172.7447216890594
10533,1172.7447216890594
10534,1172.7447216890594
10535,1172.7447216890594
10536,1172.7447216890594
10537,1172.7447216890594
10538,1172.7447216890594
10539,1172.7447216890594
10540,1172.7447216890594
10541,1172.7447216890594
10542,1172.7447216890594
10543,1172.7447216890594
10544,1172.7447216890594
10545,1172.7447216890594
10546,1172.7447216890594
10547,1172.7447216890594
10548,1172.7447216890594
10549,1172.7447216890594
10550,1172.7447216890594
10551,1172.7447216890594
10552,1172.7447216890594
10553,1172.7447216890594
10554,1172.7447216890594
10555,1172.7447216890594
10556,1172.7447216890594
10557,1172.7447216890594
10558,1172.7447216890594
10559,1172.7447216890594
10560,1172.7447216890594
10561,1172.7447216890594
10562,1172.7447216890594
10563,1172.7447216890594
10564,1172.7447216890594
10565,1172.7447216890594
10566,1172.7447216890594
10567,1172.7447216890594
10568,1172.7447216890594
10569,1172.7447216890594
10570,1172.7447216890594
10571,1172.7447216890594
10572,1172.7447216890594
10573,1172.7447216890594
10574,1172.7447216890594
10575,1172.7447216890594
10576,1172.7447216890594
10577,1172.7447216890594
10578,1172.7447216890594
10579,1172.7447216890594
10580,1172.7447216890594
10581,1172.7447216890594
10582,1172.7447216890594
10583,1172.7447216890594
10584,1172.7447216890594
