,DGNOXTCH Index_ratio
10443,290.4869283348601
10444,290.4869283348601
10445,290.4869283348601
10446,290.4869283348601
10447,290.4869283348601
10448,290.4869283348601
10449,290.4869283348601
10450,290.4869283348601
10451,290.4869283348601
10452,290.4869283348601
10453,290.4869283348601
10454,290.4869283348601
10455,290.4869283348601
10456,290.4869283348601
10457,290.4869283348601
10458,290.4869283348601
10459,290.4869283348601
10460,290.4869283348601
10461,290.4869283348601
10462,290.4869283348601
10463,290.4869283348601
10464,290.4869283348601
10465,290.4869283348601
10466,290.4869283348601
10467,290.4869283348601
10468,290.4869283348601
10469,290.4869283348601
10470,290.4869283348601
10471,290.4869283348601
10472,290.4869283348601
10473,290.4869283348601
10474,290.4869283348601
10475,290.4869283348601
10476,290.4869283348601
10477,290.4869283348601
10478,290.4869283348601
10479,290.4869283348601
10480,290.4869283348601
10481,290.4869283348601
10482,290.4869283348601
10483,290.4869283348601
10484,290.4869283348601
10485,290.4869283348601
10486,290.4869283348601
10487,290.4869283348601
10488,290.4869283348601
10489,290.4869283348601
10490,290.4869283348601
10491,290.4869283348601
10492,290.4869283348601
10493,290.4869283348601
10494,290.4869283348601
10495,290.4869283348601
10496,290.4869283348601
10497,290.4869283348601
10498,290.4869283348601
10499,552.9801324503312
10500,552.9801324503312
10501,552.9801324503312
10502,552.9801324503312
10503,552.9801324503312
10504,552.9801324503312
10505,552.9801324503312
10506,552.9801324503312
10507,552.9801324503312
10508,552.9801324503312
10509,552.9801324503312
10510,552.9801324503312
10511,552.9801324503312
10512,552.9801324503312
10513,552.9801324503312
10514,552.9801324503312
10515,552.9801324503312
10516,552.9801324503312
10517,552.9801324503312
10518,552.9801324503312
10519,552.9801324503312
10520,552.9801324503312
10521,552.9801324503312
10522,552.9801324503312
10523,552.9801324503312
10524,552.9801324503312
10525,552.9801324503312
10526,552.9801324503312
10527,552.9801324503312
10528,552.9801324503312
10529,552.9801324503312
10530,552.9801324503312
10531,552.9801324503312
10532,552.9801324503312
10533,552.9801324503312
10534,552.9801324503312
10535,552.9801324503312
10536,552.9801324503312
10537,552.9801324503312
10538,552.9801324503312
10539,552.9801324503312
10540,552.9801324503312
10541,552.9801324503312
10542,552.9801324503312
10543,552.9801324503312
10544,552.9801324503312
10545,552.9801324503312
10546,552.9801324503312
10547,552.9801324503312
10548,552.9801324503312
10549,552.9801324503312
10550,552.9801324503312
10551,552.9801324503312
10552,552.9801324503312
10553,552.9801324503312
10554,552.9801324503312
10555,552.9801324503312
10556,552.9801324503312
10557,552.9801324503312
10558,552.9801324503312
10559,552.9801324503312
10560,552.9801324503312
10561,552.9801324503312
10562,552.9801324503312
10563,552.9801324503312
10564,552.9801324503312
10565,552.9801324503312
10566,552.9801324503312
10567,552.9801324503312
10568,552.9801324503312
10569,552.9801324503312
10570,552.9801324503312
10571,552.9801324503312
10572,552.9801324503312
10573,552.9801324503312
10574,552.9801324503312
10575,552.9801324503312
10576,552.9801324503312
10577,552.9801324503312
10578,552.9801324503312
10579,552.9801324503312
10580,552.9801324503312
10581,552.9801324503312
10582,552.9801324503312
10583,552.9801324503312
10584,552.9801324503312
10585,552.9801324503312
10586,552.9801324503312
10587,552.9801324503312
10588,552.9801324503312
10589,552.9801324503312
10590,552.9801324503312
10591,1968.9509869150581
10592,1968.9509869150581
10593,1968.9509869150581
10594,1968.9509869150581
10595,1968.9509869150581
10596,1968.9509869150581
10597,1968.9509869150581
10598,1968.9509869150581
10599,1968.9509869150581
10600,1968.9509869150581
10601,1968.9509869150581
10602,1968.9509869150581
10603,1968.9509869150581
10604,1968.9509869150581
10605,1968.9509869150581
10606,1968.9509869150581
10607,1968.9509869150581
10608,1968.9509869150581
10609,1968.9509869150581
10610,1968.9509869150581
10611,1968.9509869150581
10612,1968.9509869150581
10613,1968.9509869150581
10614,1968.9509869150581
10615,1968.9509869150581
10616,1968.9509869150581
10617,1968.9509869150581
10618,1968.9509869150581
10619,1968.9509869150581
10620,1968.9509869150581
10621,1968.9509869150581
10622,1968.9509869150581
10623,1968.9509869150581
10624,1968.9509869150581
10625,1968.9509869150581
10626,1968.9509869150581
10627,1968.9509869150581
10628,1968.9509869150581
10629,1968.9509869150581
10630,1968.9509869150581
10631,1968.9509869150581
10632,1968.9509869150581
10633,1968.9509869150581
10634,1968.9509869150581
10635,1968.9509869150581
10636,1968.9509869150581
10637,1968.9509869150581
10638,1968.9509869150581
10639,1968.9509869150581
10640,1968.9509869150581
10641,1968.9509869150581
10642,1968.9509869150581
10643,1968.9509869150581
10644,1968.9509869150581
10645,1968.9509869150581
10646,1968.9509869150581
10647,1968.9509869150581
10648,1968.9509869150581
10649,1968.9509869150581
10650,1968.9509869150581
10651,1968.9509869150581
10652,1968.9509869150581
10653,1968.9509869150581
10654,1968.9509869150581
10655,1968.9509869150581
10656,1968.9509869150581
10657,1968.9509869150581
10658,1968.9509869150581
10659,1968.9509869150581
10660,1968.9509869150581
10661,1968.9509869150581
10662,1968.9509869150581
10663,1968.9509869150581
10664,1968.9509869150581
10665,1968.9509869150581
10666,1968.9509869150581
10667,1968.9509869150581
10668,1968.9509869150581
10669,1968.9509869150581
10670,1968.9509869150581
10671,1968.9509869150581
10672,1968.9509869150581
10673,1968.9509869150581
10674,1968.9509869150581
10675,1968.9509869150581
10676,1968.9509869150581
10677,1968.9509869150581
10678,1968.9509869150581
10679,1968.9509869150581
10680,1968.9509869150581
10681,1095.5987018163187
10682,1095.5987018163187
10683,1095.5987018163187
10684,1095.5987018163187
10685,1095.5987018163187
10686,1095.5987018163187
10687,1095.5987018163187
10688,1095.5987018163187
10689,1095.5987018163187
10690,1095.5987018163187
10691,1095.5987018163187
10692,1095.5987018163187
10693,1095.5987018163187
10694,1095.5987018163187
10695,1095.5987018163187
10696,1095.5987018163187
10697,1095.5987018163187
10698,1095.5987018163187
10699,1095.5987018163187
10700,1095.5987018163187
10701,1095.5987018163187
10702,1095.5987018163187
10703,1095.5987018163187
10704,1095.5987018163187
10705,1095.5987018163187
10706,1095.5987018163187
10707,1095.5987018163187
10708,1095.5987018163187
10709,1095.5987018163187
10710,1095.5987018163187
10711,1095.5987018163187
10712,1095.5987018163187
10713,1095.5987018163187
10714,1095.5987018163187
10715,1095.5987018163187
10716,1095.5987018163187
10717,1095.5987018163187
10718,1095.5987018163187
10719,1095.5987018163187
10720,1095.5987018163187
10721,1095.5987018163187
10722,1095.5987018163187
10723,1095.5987018163187
10724,1095.5987018163187
10725,1095.5987018163187
10726,1095.5987018163187
10727,1095.5987018163187
10728,1095.5987018163187
10729,1095.5987018163187
10730,1095.5987018163187
10731,1095.5987018163187
10732,1095.5987018163187
10733,1095.5987018163187
10734,1095.5987018163187
10735,1095.5987018163187
10736,1095.5987018163187
10737,1095.5987018163187
10738,1095.5987018163187
10739,1095.5987018163187
10740,1095.5987018163187
10741,1095.5987018163187
10742,1095.5987018163187
10743,1095.5987018163187
10744,1095.5987018163187
10745,1095.5987018163187
10746,1095.5987018163187
10747,1095.5987018163187
10748,1095.5987018163187
10749,1095.5987018163187
10750,1095.5987018163187
10751,1095.5987018163187
10752,1095.5987018163187
10753,1095.5987018163187
