,OUTFGAF Index_ratio
10232,1346.2139508452906
10233,1346.2139508452906
10234,1346.2139508452906
10235,1346.2139508452906
10236,1346.2139508452906
10237,1346.2139508452906
10238,1346.2139508452906
10239,1346.2139508452906
10240,1346.2139508452906
10241,1346.2139508452906
10242,1346.2139508452906
10243,1346.2139508452906
10244,1346.2139508452906
10245,1346.2139508452906
10246,1346.2139508452906
10247,1346.2139508452906
10248,1346.2139508452906
10249,1346.2139508452906
10250,1346.2139508452906
10251,1346.2139508452906
10252,1346.2139508452906
10253,1346.2139508452906
10254,1346.2139508452906
10255,1346.2139508452906
10256,1346.2139508452906
10257,1346.2139508452906
10258,1346.2139508452906
10259,1346.2139508452906
10260,1346.2139508452906
10261,1346.2139508452906
10262,1346.2139508452906
10263,1346.2139508452906
10264,1346.2139508452906
10265,1346.2139508452906
10266,1346.2139508452906
10267,1346.2139508452906
10268,1346.2139508452906
10269,1346.2139508452906
10270,1346.2139508452906
10271,1346.2139508452906
10272,1346.2139508452906
10273,1346.2139508452906
10274,1346.2139508452906
10275,1346.2139508452906
10276,1346.2139508452906
10277,1346.2139508452906
10278,1346.2139508452906
10279,1346.2139508452906
10280,1346.2139508452906
10281,1346.2139508452906
10282,1346.2139508452906
10283,1346.2139508452906
10284,1346.2139508452906
10285,1346.2139508452906
10286,1346.2139508452906
10287,1346.2139508452906
10288,1346.2139508452906
10289,1346.2139508452906
10290,1346.2139508452906
10291,1346.2139508452906
10292,1346.2139508452906
10293,1346.2139508452906
10294,1346.2139508452906
10295,1346.2139508452906
10296,1346.2139508452906
10297,1346.2139508452906
10298,1346.2139508452906
10299,1346.2139508452906
10300,1346.2139508452906
10301,1346.2139508452906
10302,1346.2139508452906
10303,1346.2139508452906
10304,1346.2139508452906
10305,1346.2139508452906
10306,1346.2139508452906
10307,1346.2139508452906
10308,1346.2139508452906
10309,1346.2139508452906
10310,1346.2139508452906
10311,1346.2139508452906
10312,1346.2139508452906
10313,1346.2139508452906
10314,1346.2139508452906
10315,1346.2139508452906
10316,896.0311533127065
10317,896.0311533127065
10318,896.0311533127065
10319,896.0311533127065
10320,896.0311533127065
10321,896.0311533127065
10322,896.0311533127065
10323,896.0311533127065
10324,896.0311533127065
10325,896.0311533127065
10326,896.0311533127065
10327,896.0311533127065
10328,896.0311533127065
10329,896.0311533127065
10330,896.0311533127065
10331,896.0311533127065
10332,896.0311533127065
10333,896.0311533127065
10334,896.0311533127065
10335,896.0311533127065
10336,896.0311533127065
10337,896.0311533127065
10338,896.0311533127065
10339,896.0311533127065
10340,896.0311533127065
10341,896.0311533127065
10342,896.0311533127065
10343,896.0311533127065
10344,896.0311533127065
10345,896.0311533127065
10346,896.0311533127065
10347,896.0311533127065
10348,896.0311533127065
10349,896.0311533127065
10350,896.0311533127065
10351,896.0311533127065
10352,896.0311533127065
10353,896.0311533127065
10354,896.0311533127065
10355,896.0311533127065
10356,896.0311533127065
10357,896.0311533127065
10358,896.0311533127065
10359,896.0311533127065
10360,896.0311533127065
10361,896.0311533127065
10362,896.0311533127065
10363,896.0311533127065
10364,896.0311533127065
10365,896.0311533127065
10366,896.0311533127065
10367,896.0311533127065
10368,896.0311533127065
10369,896.0311533127065
10370,896.0311533127065
10371,896.0311533127065
10372,896.0311533127065
10373,896.0311533127065
10374,896.0311533127065
10375,896.0311533127065
10376,896.0311533127065
10377,896.0311533127065
10378,896.0311533127065
10379,896.0311533127065
10380,896.0311533127065
10381,896.0311533127065
10382,896.0311533127065
10383,896.0311533127065
10384,896.0311533127065
10385,896.0311533127065
10386,896.0311533127065
10387,896.0311533127065
10388,896.0311533127065
10389,896.0311533127065
10390,896.0311533127065
10391,896.0311533127065
10392,896.0311533127065
10393,896.0311533127065
10394,896.0311533127065
10395,896.0311533127065
10396,896.0311533127065
10397,896.0311533127065
10398,896.0311533127065
10399,896.0311533127065
10400,896.0311533127065
10401,896.0311533127065
10402,896.0311533127065
10403,896.0311533127065
10404,896.0311533127065
10405,896.0311533127065
10406,896.0311533127065
10407,1236.5160963008404
10408,1236.5160963008404
10409,1236.5160963008404
10410,1236.5160963008404
10411,1236.5160963008404
10412,1236.5160963008404
10413,1236.5160963008404
10414,1236.5160963008404
10415,1236.5160963008404
10416,1236.5160963008404
10417,1236.5160963008404
10418,1236.5160963008404
10419,1236.5160963008404
10420,1236.5160963008404
10421,1236.5160963008404
10422,1236.5160963008404
10423,1236.5160963008404
10424,1236.5160963008404
10425,1236.5160963008404
10426,1236.5160963008404
10427,1236.5160963008404
10428,1236.5160963008404
10429,1236.5160963008404
10430,1236.5160963008404
10431,1236.5160963008404
10432,1236.5160963008404
10433,1236.5160963008404
10434,1236.5160963008404
10435,1236.5160963008404
10436,1236.5160963008404
10437,1236.5160963008404
10438,1236.5160963008404
10439,1236.5160963008404
10440,1236.5160963008404
10441,1236.5160963008404
10442,1236.5160963008404
10443,1236.5160963008404
10444,1236.5160963008404
10445,1236.5160963008404
10446,1236.5160963008404
10447,1236.5160963008404
10448,1236.5160963008404
10449,1236.5160963008404
10450,1236.5160963008404
10451,1236.5160963008404
10452,1236.5160963008404
10453,1236.5160963008404
10454,1236.5160963008404
10455,1236.5160963008404
10456,1236.5160963008404
10457,1236.5160963008404
10458,1236.5160963008404
10459,1236.5160963008404
10460,1236.5160963008404
10461,1236.5160963008404
10462,1236.5160963008404
10463,1236.5160963008404
10464,1236.5160963008404
10465,1236.5160963008404
10466,1236.5160963008404
10467,1236.5160963008404
10468,1236.5160963008404
10469,1236.5160963008404
10470,1236.5160963008404
10471,1236.5160963008404
10472,1236.5160963008404
10473,1236.5160963008404
10474,1236.5160963008404
10475,1236.5160963008404
10476,1236.5160963008404
10477,1236.5160963008404
10478,1236.5160963008404
10479,1236.5160963008404
10480,1236.5160963008404
10481,1236.5160963008404
10482,1236.5160963008404
10483,1236.5160963008404
10484,1236.5160963008404
10485,1236.5160963008404
10486,1236.5160963008404
10487,1236.5160963008404
10488,1236.5160963008404
10489,1236.5160963008404
10490,1236.5160963008404
10491,1236.5160963008404
10492,1236.5160963008404
10493,1236.5160963008404
10494,1236.5160963008404
10495,1236.5160963008404
10496,1236.5160963008404
10497,1236.5160963008404
10498,1236.5160963008404
10499,772.4068958948474
10500,772.4068958948474
10501,772.4068958948474
10502,772.4068958948474
10503,772.4068958948474
10504,772.4068958948474
10505,772.4068958948474
10506,772.4068958948474
10507,772.4068958948474
10508,772.4068958948474
10509,772.4068958948474
10510,772.4068958948474
10511,772.4068958948474
10512,772.4068958948474
10513,772.4068958948474
10514,772.4068958948474
10515,772.4068958948474
10516,772.4068958948474
10517,772.4068958948474
10518,772.4068958948474
10519,772.4068958948474
10520,772.4068958948474
10521,772.4068958948474
10522,772.4068958948474
10523,772.4068958948474
10524,772.4068958948474
10525,772.4068958948474
10526,772.4068958948474
10527,772.4068958948474
10528,772.4068958948474
10529,772.4068958948474
10530,772.4068958948474
10531,772.4068958948474
10532,772.4068958948474
10533,772.4068958948474
10534,772.4068958948474
10535,772.4068958948474
10536,772.4068958948474
10537,772.4068958948474
10538,772.4068958948474
10539,772.4068958948474
10540,772.4068958948474
10541,772.4068958948474
10542,772.4068958948474
10543,772.4068958948474
10544,772.4068958948474
10545,772.4068958948474
10546,772.4068958948474
10547,772.4068958948474
10548,772.4068958948474
10549,772.4068958948474
10550,772.4068958948474
10551,772.4068958948474
10552,772.4068958948474
10553,772.4068958948474
10554,772.4068958948474
10555,772.4068958948474
10556,772.4068958948474
10557,772.4068958948474
10558,772.4068958948474
10559,772.4068958948474
10560,772.4068958948474
10561,772.4068958948474
10562,772.4068958948474
10563,772.4068958948474
10564,772.4068958948474
10565,772.4068958948474
10566,772.4068958948474
10567,772.4068958948474
10568,772.4068958948474
10569,772.4068958948474
10570,772.4068958948474
10571,772.4068958948474
10572,772.4068958948474
10573,772.4068958948474
10574,772.4068958948474
10575,772.4068958948474
10576,772.4068958948474
10577,772.4068958948474
10578,772.4068958948474
10579,772.4068958948474
10580,772.4068958948474
10581,772.4068958948474
10582,772.4068958948474
10583,772.4068958948474
10584,772.4068958948474
10585,772.4068958948474
10586,772.4068958948474
10587,772.4068958948474
10588,772.4068958948474
10589,772.4068958948474
10590,772.4068958948474
10591,207.41928191216064
10592,207.41928191216064
10593,207.41928191216064
10594,207.41928191216064
10595,207.41928191216064
10596,207.41928191216064
10597,207.41928191216064
10598,207.41928191216064
10599,207.41928191216064
10600,207.41928191216064
10601,207.41928191216064
10602,207.41928191216064
10603,207.41928191216064
10604,207.41928191216064
10605,207.41928191216064
10606,207.41928191216064
10607,207.41928191216064
10608,207.41928191216064
10609,207.41928191216064
10610,207.41928191216064
10611,207.41928191216064
10612,207.41928191216064
10613,207.41928191216064
10614,207.41928191216064
10615,207.41928191216064
10616,207.41928191216064
10617,207.41928191216064
10618,207.41928191216064
10619,207.41928191216064
10620,207.41928191216064
10621,207.41928191216064
10622,207.41928191216064
10623,207.41928191216064
10624,207.41928191216064
10625,207.41928191216064
10626,207.41928191216064
10627,207.41928191216064
10628,207.41928191216064
10629,207.41928191216064
10630,207.41928191216064
10631,207.41928191216064
10632,207.41928191216064
10633,207.41928191216064
10634,207.41928191216064
10635,207.41928191216064
10636,207.41928191216064
10637,207.41928191216064
10638,207.41928191216064
10639,207.41928191216064
10640,207.41928191216064
10641,207.41928191216064
10642,207.41928191216064
10643,207.41928191216064
10644,207.41928191216064
10645,207.41928191216064
10646,207.41928191216064
10647,207.41928191216064
10648,207.41928191216064
10649,207.41928191216064
10650,207.41928191216064
10651,207.41928191216064
10652,207.41928191216064
10653,207.41928191216064
10654,207.41928191216064
10655,207.41928191216064
10656,207.41928191216064
10657,207.41928191216064
10658,207.41928191216064
10659,207.41928191216064
10660,207.41928191216064
10661,207.41928191216064
10662,207.41928191216064
10663,207.41928191216064
10664,207.41928191216064
10665,207.41928191216064
10666,207.41928191216064
10667,207.41928191216064
10668,207.41928191216064
10669,207.41928191216064
10670,207.41928191216064
10671,207.41928191216064
10672,207.41928191216064
10673,207.41928191216064
10674,207.41928191216064
10675,207.41928191216064
10676,207.41928191216064
10677,207.41928191216064
10678,207.41928191216064
10679,207.41928191216064
10680,207.41928191216064
10681,31.855109339156737
10682,31.855109339156737
10683,31.855109339156737
10684,31.855109339156737
10685,31.855109339156737
10686,31.855109339156737
10687,31.855109339156737
10688,31.855109339156737
10689,31.855109339156737
10690,31.855109339156737
10691,31.855109339156737
10692,31.855109339156737
10693,31.855109339156737
10694,31.855109339156737
10695,31.855109339156737
10696,31.855109339156737
10697,31.855109339156737
10698,31.855109339156737
10699,31.855109339156737
10700,31.855109339156737
10701,31.855109339156737
10702,31.855109339156737
10703,31.855109339156737
10704,31.855109339156737
10705,31.855109339156737
10706,31.855109339156737
10707,31.855109339156737
10708,31.855109339156737
10709,31.855109339156737
10710,31.855109339156737
10711,31.855109339156737
10712,31.855109339156737
10713,31.855109339156737
10714,31.855109339156737
10715,31.855109339156737
10716,31.855109339156737
10717,31.855109339156737
10718,31.855109339156737
10719,31.855109339156737
10720,31.855109339156737
10721,31.855109339156737
10722,31.855109339156737
10723,31.855109339156737
10724,31.855109339156737
10725,31.855109339156737
