,PCE CRCH Index_ratio
10526,940.3973509933775
10527,940.3973509933775
10528,940.3973509933775
10529,940.3973509933775
10530,940.3973509933775
10531,940.3973509933775
10532,940.3973509933775
10533,940.3973509933775
10534,940.3973509933775
10535,940.3973509933775
10536,940.3973509933775
10537,940.3973509933775
10538,940.3973509933775
10539,940.3973509933775
10540,940.3973509933775
10541,940.3973509933775
10542,940.3973509933775
10543,940.3973509933775
10544,940.3973509933775
10545,940.3973509933775
10546,940.3973509933775
10547,940.3973509933775
10548,940.3973509933775
10549,940.3973509933775
10550,940.3973509933775
10551,940.3973509933775
10552,940.3973509933775
10553,940.3973509933775
10554,940.3973509933775
10555,940.3973509933775
10556,940.3973509933775
10557,940.3973509933775
10558,940.3973509933775
10559,940.3973509933775
10560,940.3973509933775
10561,940.3973509933775
10562,940.3973509933775
10563,940.3973509933775
10564,940.3973509933775
10565,940.3973509933775
10566,940.3973509933775
10567,940.3973509933775
10568,940.3973509933775
10569,940.3973509933775
10570,940.3973509933775
10571,940.3973509933775
10572,940.3973509933775
10573,940.3973509933775
10574,940.3973509933775
10575,940.3973509933775
10576,940.3973509933775
10577,940.3973509933775
10578,940.3973509933775
10579,940.3973509933775
10580,940.3973509933775
10581,940.3973509933775
10582,940.3973509933775
10583,940.3973509933775
10584,940.3973509933775
10585,940.3973509933775
10586,940.3973509933775
10587,940.3973509933775
10588,940.3973509933775
10589,940.3973509933775
10590,940.3973509933775
10591,1095.6494522691708
10592,1095.6494522691708
10593,1095.6494522691708
10594,1095.6494522691708
10595,1095.6494522691708
10596,1095.6494522691708
10597,1095.6494522691708
10598,1095.6494522691708
10599,1095.6494522691708
10600,1095.6494522691708
10601,1095.6494522691708
10602,1095.6494522691708
10603,1095.6494522691708
10604,1095.6494522691708
10605,1095.6494522691708
10606,1095.6494522691708
10607,1095.6494522691708
10608,1095.6494522691708
10609,1095.6494522691708
10610,1095.6494522691708
10611,1095.6494522691708
10612,1095.6494522691708
10613,1095.6494522691708
10614,1095.6494522691708
10615,1095.6494522691708
10616,1095.6494522691708
10617,1095.6494522691708
10618,1095.6494522691708
10619,1095.6494522691708
10620,1095.6494522691708
10621,1095.6494522691708
10622,1095.6494522691708
10623,1095.6494522691708
10624,1095.6494522691708
10625,1095.6494522691708
10626,1095.6494522691708
10627,1095.6494522691708
10628,1095.6494522691708
10629,1095.6494522691708
10630,1095.6494522691708
10631,1095.6494522691708
10632,1095.6494522691708
10633,1095.6494522691708
10634,1095.6494522691708
10635,1095.6494522691708
10636,1095.6494522691708
10637,1095.6494522691708
10638,1095.6494522691708
10639,1095.6494522691708
