,NAPMPMI Index_ratio
10234,1044.6076790274187
10235,1044.6076790274187
10236,1044.6076790274187
10237,1044.6076790274187
10238,1044.6076790274187
10239,1044.6076790274187
10240,1044.6076790274187
10241,1044.6076790274187
10242,1044.6076790274187
10243,1044.6076790274187
10244,1044.6076790274187
10245,1044.6076790274187
10246,1044.6076790274187
10247,1044.6076790274187
10248,1044.6076790274187
10249,1044.6076790274187
10250,1044.6076790274187
10251,1044.6076790274187
10252,1044.6076790274187
10253,1044.6076790274187
10254,1044.6076790274187
10255,1044.6076790274187
10256,1044.6076790274187
10257,1044.6076790274187
10258,1044.6076790274187
10259,1044.6076790274187
10260,1044.6076790274187
10261,1044.6076790274187
10262,1044.6076790274187
10263,1044.6076790274187
10264,1044.6076790274187
10265,1044.6076790274187
10266,1044.6076790274187
10267,1044.6076790274187
10268,1044.6076790274187
10269,1044.6076790274187
10270,1044.6076790274187
10271,1044.6076790274187
10272,1044.6076790274187
10273,1044.6076790274187
10274,1044.6076790274187
10275,1044.6076790274187
10276,1044.6076790274187
10277,1044.6076790274187
10278,1044.6076790274187
10279,1044.6076790274187
10280,1044.6076790274187
10281,1044.6076790274187
10282,1044.6076790274187
10283,1044.6076790274187
10284,1044.6076790274187
10285,1044.6076790274187
10286,1044.6076790274187
10287,1044.6076790274187
10288,1044.6076790274187
10289,1044.6076790274187
10290,1044.6076790274187
10291,1044.6076790274187
10292,1044.6076790274187
10293,1044.6076790274187
10294,1044.6076790274187
10295,1044.6076790274187
10296,1044.6076790274187
10297,1044.6076790274187
10298,1044.6076790274187
10299,1044.6076790274187
10300,1044.6076790274187
10301,1044.6076790274187
10302,1044.6076790274187
10303,1044.6076790274187
10304,1044.6076790274187
10305,1044.6076790274187
10306,1044.6076790274187
10307,1044.6076790274187
10308,1044.6076790274187
10309,1044.6076790274187
10310,1044.6076790274187
10311,1044.6076790274187
10312,1044.6076790274187
10313,1044.6076790274187
10314,1044.6076790274187
10315,1044.6076790274187
10316,1000.6562784501157
10317,1000.6562784501157
10318,1000.6562784501157
10319,1000.6562784501157
10320,1000.6562784501157
10321,1000.6562784501157
10322,1000.6562784501157
10323,1000.6562784501157
10324,1000.6562784501157
10325,1000.6562784501157
10326,1000.6562784501157
10327,1000.6562784501157
10328,1000.6562784501157
10329,1000.6562784501157
10330,1000.6562784501157
10331,1000.6562784501157
10332,1000.6562784501157
10333,1000.6562784501157
10334,1000.6562784501157
10335,1000.6562784501157
10336,1000.6562784501157
10337,1000.6562784501157
10338,1000.6562784501157
10339,1000.6562784501157
10340,1000.6562784501157
10341,1000.6562784501157
10342,1000.6562784501157
10343,1000.6562784501157
10344,1000.6562784501157
10345,1000.6562784501157
10346,1000.6562784501157
10347,1000.6562784501157
10348,1000.6562784501157
10349,1000.6562784501157
10350,1000.6562784501157
10351,1000.6562784501157
10352,1000.6562784501157
10353,1000.6562784501157
10354,1000.6562784501157
10355,1000.6562784501157
10356,1000.6562784501157
10357,1000.6562784501157
10358,1000.6562784501157
10359,1000.6562784501157
10360,1000.6562784501157
10361,1000.6562784501157
10362,1000.6562784501157
10363,1000.6562784501157
10364,1000.6562784501157
10365,1000.6562784501157
10366,1000.6562784501157
10367,1000.6562784501157
10368,1000.6562784501157
10369,1000.6562784501157
10370,1000.6562784501157
10371,1000.6562784501157
10372,1000.6562784501157
10373,1000.6562784501157
10374,1000.6562784501157
10375,1000.6562784501157
10376,1000.6562784501157
10377,1000.6562784501157
10378,1000.6562784501157
10379,1000.6562784501157
10380,1000.6562784501157
10381,1000.6562784501157
10382,1000.6562784501157
10383,1000.6562784501157
10384,1000.6562784501157
10385,1000.6562784501157
10386,1000.6562784501157
10387,1000.6562784501157
10388,1000.6562784501157
10389,1000.6562784501157
10390,1000.6562784501157
10391,1000.6562784501157
10392,1000.6562784501157
10393,1000.6562784501157
10394,1000.6562784501157
10395,1000.6562784501157
10396,1000.6562784501157
10397,1000.6562784501157
10398,1000.6562784501157
10399,1000.6562784501157
10400,1000.6562784501157
10401,1000.6562784501157
10402,1000.6562784501157
10403,1000.6562784501157
10404,1000.6562784501157
10405,1000.6562784501157
10406,1000.6562784501157
10407,1057.4249345366552
10408,1057.4249345366552
10409,1057.4249345366552
10410,1057.4249345366552
10411,1057.4249345366552
10412,1057.4249345366552
10413,1057.4249345366552
10414,1057.4249345366552
10415,1057.4249345366552
10416,1057.4249345366552
10417,1057.4249345366552
10418,1057.4249345366552
10419,1057.4249345366552
10420,1057.4249345366552
10421,1057.4249345366552
10422,1057.4249345366552
10423,1057.4249345366552
10424,1057.4249345366552
10425,1057.4249345366552
10426,1057.4249345366552
10427,1057.4249345366552
10428,1057.4249345366552
10429,1057.4249345366552
10430,1057.4249345366552
10431,1057.4249345366552
10432,1057.4249345366552
10433,1057.4249345366552
10434,1057.4249345366552
10435,1057.4249345366552
10436,1057.4249345366552
10437,1057.4249345366552
10438,1057.4249345366552
10439,1057.4249345366552
10440,1057.4249345366552
10441,1057.4249345366552
10442,1057.4249345366552
10443,1057.4249345366552
10444,1057.4249345366552
10445,1057.4249345366552
10446,1057.4249345366552
10447,1057.4249345366552
10448,1057.4249345366552
10449,1057.4249345366552
10450,1057.4249345366552
10451,1057.4249345366552
10452,1057.4249345366552
10453,1057.4249345366552
10454,1057.4249345366552
10455,1057.4249345366552
10456,1057.4249345366552
10457,1057.4249345366552
10458,1057.4249345366552
10459,1057.4249345366552
10460,1057.4249345366552
10461,1057.4249345366552
10462,1057.4249345366552
10463,1057.4249345366552
10464,1057.4249345366552
10465,1057.4249345366552
10466,1057.4249345366552
10467,1057.4249345366552
10468,1057.4249345366552
10469,1057.4249345366552
10470,1057.4249345366552
10471,1057.4249345366552
10472,1057.4249345366552
10473,1057.4249345366552
10474,1057.4249345366552
10475,1057.4249345366552
10476,1057.4249345366552
10477,1057.4249345366552
10478,1057.4249345366552
10479,1057.4249345366552
10480,1057.4249345366552
10481,1057.4249345366552
10482,1057.4249345366552
10483,1057.4249345366552
10484,1057.4249345366552
10485,1057.4249345366552
10486,1057.4249345366552
10487,1057.4249345366552
10488,1057.4249345366552
10489,1057.4249345366552
10490,1057.4249345366552
10491,1057.4249345366552
