,CPUPXCHG Index_ratio
10226,1297.5339429204769
10227,1297.5339429204769
10228,1297.5339429204769
10229,1297.5339429204769
10230,1297.5339429204769
10231,1297.5339429204769
10232,1297.5339429204769
10233,1297.5339429204769
10234,1297.5339429204769
10235,1297.5339429204769
10236,1297.5339429204769
10237,1297.5339429204769
10238,1297.5339429204769
10239,1297.5339429204769
10240,1297.5339429204769
10241,1297.5339429204769
10242,1297.5339429204769
10243,1297.5339429204769
10244,1297.5339429204769
10245,1297.5339429204769
10246,1297.5339429204769
10247,1297.5339429204769
10248,1297.5339429204769
10249,1297.5339429204769
10250,1297.5339429204769
10251,1297.5339429204769
10252,1297.5339429204769
10253,1297.5339429204769
10254,1297.5339429204769
10255,1297.5339429204769
10256,1297.5339429204769
10257,1297.5339429204769
10258,1297.5339429204769
10259,1297.5339429204769
10260,1297.5339429204769
10261,1297.5339429204769
10262,1297.5339429204769
10263,1297.5339429204769
10264,1297.5339429204769
10265,1297.5339429204769
10266,1297.5339429204769
10267,1297.5339429204769
10268,1297.5339429204769
10269,1297.5339429204769
10270,1297.5339429204769
10271,1297.5339429204769
10272,1297.5339429204769
10273,1297.5339429204769
10274,1297.5339429204769
10275,1297.5339429204769
10276,1297.5339429204769
10277,1297.5339429204769
10278,1297.5339429204769
10279,1297.5339429204769
10280,1297.5339429204769
10281,1297.5339429204769
10282,1297.5339429204769
10283,1297.5339429204769
10284,1297.5339429204769
10285,1297.5339429204769
10286,1297.5339429204769
10287,1297.5339429204769
10288,1297.5339429204769
10289,1297.5339429204769
10290,1297.5339429204769
10291,1297.5339429204769
10292,1297.5339429204769
10293,1297.5339429204769
10294,1297.5339429204769
10295,1297.5339429204769
10296,1297.5339429204769
10297,1297.5339429204769
10298,1297.5339429204769
10299,1297.5339429204769
10300,1297.5339429204769
10301,1297.5339429204769
10302,1297.5339429204769
10303,1297.5339429204769
10304,1297.5339429204769
10305,1297.5339429204769
10306,1297.5339429204769
10307,1297.5339429204769
10308,1297.5339429204769
10309,1297.5339429204769
10310,1297.5339429204769
10311,1297.5339429204769
10312,1297.5339429204769
10313,1297.5339429204769
10314,1297.5339429204769
10315,1297.5339429204769
10316,1185.2587491094364
10317,1185.2587491094364
10318,1185.2587491094364
10319,1185.2587491094364
10320,1185.2587491094364
10321,1185.2587491094364
10322,1185.2587491094364
10323,1185.2587491094364
10324,1185.2587491094364
10325,1185.2587491094364
10326,1185.2587491094364
10327,1185.2587491094364
10328,1185.2587491094364
10329,1185.2587491094364
10330,1185.2587491094364
10331,1185.2587491094364
10332,1185.2587491094364
10333,1185.2587491094364
10334,1185.2587491094364
10335,1185.2587491094364
10336,1185.2587491094364
10337,1185.2587491094364
10338,1185.2587491094364
10339,1185.2587491094364
10340,1185.2587491094364
10341,1185.2587491094364
10342,1185.2587491094364
10343,1185.2587491094364
10344,1185.2587491094364
10345,1185.2587491094364
10346,1185.2587491094364
10347,1185.2587491094364
10348,1185.2587491094364
10349,1185.2587491094364
10350,1185.2587491094364
10351,1185.2587491094364
10352,1185.2587491094364
10353,1185.2587491094364
10354,1185.2587491094364
10355,1185.2587491094364
10356,1185.2587491094364
10357,1185.2587491094364
10358,1185.2587491094364
10359,1185.2587491094364
10360,1185.2587491094364
10361,1185.2587491094364
10362,1185.2587491094364
10363,1185.2587491094364
10364,1185.2587491094364
10365,1185.2587491094364
10366,1185.2587491094364
10367,1185.2587491094364
10368,1185.2587491094364
10369,1185.2587491094364
10370,1185.2587491094364
10371,1185.2587491094364
10372,1185.2587491094364
10373,1185.2587491094364
10374,1185.2587491094364
10375,1185.2587491094364
10376,1185.2587491094364
10377,1185.2587491094364
10378,1185.2587491094364
10379,1185.2587491094364
10380,1185.2587491094364
10381,1185.2587491094364
10382,1185.2587491094364
10383,1185.2587491094364
10384,1185.2587491094364
10385,1185.2587491094364
10386,1185.2587491094364
10387,1185.2587491094364
10388,1185.2587491094364
10389,1185.2587491094364
